response_variable,randomforest_r2,randomforest_features,tabpfn_r2,tabpfn_features
post2:BR_FREQPK,-0.984701076176091,"['pre:BR_FREQPK', 'pre:SBPPK', 'pre:VTPK']",-0.4031692648204577,"['pre:SBPsupine', 'pre:BR_FREQPK', 'pre:SBPPK']"
post2:DBPPK,-0.030763018393694663,"['pre:FEO2PK', 'pre:BR_FREQPK', 'pre:REL_VO2PK']",-0.007662985409048417,"['pre:HRseated', 'pre:RERPK', 'pre:VEPK']"
post2:DBPseated,-0.6416188364921471,"['pre:DBPseated', 'pre:RERPK', 'pre:HRseated']",-0.9861888552877645,"['pre:REL_VO2PK', 'pre:SBPPK', 'pre:DBPPK']"
post2:DBPsupine,0.11936873017707172,"['pre:RERPK', 'pre:SBPPK', 'pre:BR_FREQPK']",0.0014997635105030716,"['pre:RERPK', 'pre:BR_FREQPK', 'pre:HRsupine']"
post2:FECO2PK,-1.1768845596660684,"['pre:FECO2PK', 'pre:FEO2PK', 'pre:BR_FREQPK']",-1.9736977526866615,"['pre:RERPK', 'pre:DBPPK', 'pre:DBPseated']"
post2:FEO2PK,-0.7045682681960179,"['pre:FEO2PK', 'pre:FECO2PK', 'pre:BR_FREQPK']",-1.2064599153901439,"['pre:RPEPK', 'pre:GROUP', 'pre:BR_FREQPK']"
post2:HRPK,-0.4791658034086428,"['pre:HRPK', 'pre:VCO2PK', 'pre:MAX_WKLD']",0.41333516065535525,"['pre:HRPK', 'pre:REL_VO2PK', 'pre:DBPseated']"
post2:HRseated,-0.502959333380266,"['pre:HRseated', 'pre:REL_VO2PK', 'pre:HRPK']",-0.6927405908253992,"['pre:SBPsupine', 'pre:DBPseated', 'pre:RERPK']"
post2:HRsupine,-0.4919661339547088,"['pre:HRseated', 'pre:HRsupine', 'pre:REL_VO2PK']",-0.18068702734682995,"['pre:TIMETOT', 'pre:MAX_WKLD', 'pre:SBPseated']"
post2:MAX_WKLD,0.47761003626438026,"['pre:SBPseated', 'pre:MAX_WKLD', 'pre:VCO2PK']",0.455609750269657,"['pre:MAX_WKLD', 'pre:VCO2PK', 'pre:TIMETOT']"
post2:REL_VO2PK,0.7857454404746234,"['pre:REL_VO2PK', 'pre:GROUP', 'pre:HRsupine']",0.9407633681508968,"['pre:REL_VO2PK', 'pre:SBPPK', 'pre:TIMETOT']"
post2:RERPK,0.4774319938084095,"['pre:RERPK', 'pre:REL_VO2PK', 'pre:HRPK']",0.4604681584636896,"['pre:RERPK', 'pre:DBPsupine', 'pre:BR_FREQPK']"
post2:RPEPK,-0.3522843805744551,"['pre:SBPsupine', 'pre:HRseated', 'pre:RPEPK']",0.16114702038660955,"['pre:RPEPK', 'pre:SBPsupine', 'pre:FECO2PK']"
post2:SBPPK,-0.275808503634863,"['pre:HRPK', 'pre:SBPseated', 'pre:SBPPK']",-0.42838719821987015,"['pre:SBPPK', 'pre:VCO2PK', 'pre:SBPseated']"
post2:SBPseated,-0.6750277617649516,"['pre:HRPK', 'pre:RERPK', 'pre:SBPseated']",-0.5009060808079775,"['pre:RERPK', 'pre:SBPseated', 'pre:REL_VO2PK']"
post2:SBPsupine,-1.9326789543474385,"['pre:HRPK', 'pre:RERPK', 'pre:HRseated']",-1.831862772252673,"['pre:TIMETOT', 'pre:FECO2PK', 'pre:WKLD_@_VO2PK']"
post2:TIMETOT,0.013596767817944833,"['pre:GROUP', 'pre:TIMETOT', 'pre:REL_VO2PK']",0.12623932215573552,"['pre:RERPK', 'pre:SBPPK', 'pre:BR_FREQPK']"
post2:VCO2PK,0.5427926969209629,"['pre:VCO2PK', 'pre:HRPK', 'pre:MAX_WKLD']",0.8486285283994269,"['pre:VCO2PK', 'pre:MAX_WKLD', 'pre:BR_FREQPK']"
post2:VEPK,0.36178630841904436,"['pre:VEPK', 'pre:VTPK', 'pre:HRsupine']",0.4490169876921719,"['pre:VEPK', 'pre:MAX_WKLD', 'pre:VO2PK']"
post2:VO2PK,0.7463706029718085,"['pre:VO2PK', 'pre:VTPK', 'pre:DBPseated']",0.9511294381698767,"['pre:VO2PK', 'pre:WKLD_@_VO2PK', 'pre:FEO2PK']"
post2:VTPK,0.5725889071133258,"['pre:VTPK', 'pre:VO2PK', 'pre:VEPK']",0.7131720667536754,"['pre:VTPK', 'pre:VEPK', 'pre:BR_FREQPK']"
post2:WKLD_@_VO2PK,0.5084084191757556,"['pre:SBPseated', 'pre:VO2PK', 'pre:WKLD_@_VO2PK']",0.5182547344292523,"['pre:WKLD_@_VO2PK', 'pre:VO2PK', 'pre:VEPK']"
