"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000000202",0.30881025281684,-1.72502604588146,3.06715443518544,-0.5624190376893,0.573830551167177,0.876098704580508
"ENSMUSG00000000214",1.57215763091061,-1.53884594207542,2.73738360824229,-0.562159405587853,0.574007416691739,0.876098704580508
"ENSMUSG00000000411",0.0986383360988006,-1.72502604588146,3.06715443518544,-0.5624190376893,0.573830551167177,0.876098704580508
"ENSMUSG00000000544",7.90295667332514e-05,-1.28357969332704,3.06913877993551,-0.418221457341208,0.675785208891514,0.876098704580508
"ENSMUSG00000000730",0.311220654602204,-1.67800784521211,3.0671536261222,-0.547089598291044,0.584317178058041,0.876098704580508
"ENSMUSG00000001021",0.15481972028324,-1.97647658497433,3.06404624092385,-0.645054424628525,0.518891917027491,0.876098704580508
"ENSMUSG00000001655",0.228399399337433,-1.72502604588146,3.06715443518544,-0.5624190376893,0.573830551167177,0.876098704580508
"ENSMUSG00000002664",0.228399399337433,-1.72502604588146,3.06715443518544,-0.5624190376893,0.573830551167177,0.876098704580508
"ENSMUSG00000002791",0.274642048583684,-1.72502604588146,3.06715443518544,-0.5624190376893,0.573830551167177,0.876098704580508
"ENSMUSG00000003341",0.000197573916833128,-1.28119991226544,3.06913873852723,-0.417446072470561,0.676352161440574,0.876098704580508
"ENSMUSG00000003436",0.228399399337433,-1.72502604588146,3.06715443518544,-0.5624190376893,0.573830551167177,0.876098704580508
"ENSMUSG00000003974",3.95147833666257e-05,-1.28437469997752,3.06913879378388,-0.418480487939758,0.675595849628591,0.876098704580508
"ENSMUSG00000004366",0.0761331331124777,-0.76962811585027,3.06709406617265,-0.250930717886546,0.801867674603062,0.876098704580508
"ENSMUSG00000004540",0.129616510004573,-0.769628098799205,3.0670940660345,-0.250930712338494,0.801867678892572,0.876098704580508
"ENSMUSG00000004892",0.328250903532161,-2.10105407526148,3.05760435094927,-0.687156948415901,0.491983830582726,0.876098704580508
"ENSMUSG00000005917",0.274642048583684,-1.72502604588146,3.06715443518544,-0.5624190376893,0.573830551167177,0.876098704580508
"ENSMUSG00000006007",0.0761331331124777,-0.76962811585027,3.06709406617265,-0.250930717886546,0.801867674603062,0.876098704580508
"ENSMUSG00000006056",3.95147833666257e-05,-1.28437469997752,3.06913879378388,-0.418480487939758,0.675595849628591,0.876098704580508
"ENSMUSG00000006143",0.30881025281684,-1.72502604588146,3.06715443518544,-0.5624190376893,0.573830551167177,0.876098704580508
"ENSMUSG00000006204",0.30881025281684,-2.25679853636401,3.05984996089455,-0.737552025493509,0.460786717503522,0.876098704580508
"ENSMUSG00000006216",0.30881025281684,-1.72502604588146,3.06715443518544,-0.5624190376893,0.573830551167177,0.876098704580508
"ENSMUSG00000006270",0.30881025281684,-1.72502604588146,3.06715443518544,-0.5624190376893,0.573830551167177,0.876098704580508
"ENSMUSG00000006469",0.274642048583684,-1.72502604588146,3.06715443518544,-0.5624190376893,0.573830551167177,0.876098704580508
"ENSMUSG00000006546",0.000158059133466503,-1.281992301629,3.06913875230725,-0.417704250309718,0.676163364361256,0.876098704580508
"ENSMUSG00000007946",0.933187786406214,-2.75731249830004,3.04952877029184,-0.904176581366099,0.365901775906688,0.876098704580508
"ENSMUSG00000009214",0.549284097167367,-2.25679853636401,3.05984996089455,-0.737552025493509,0.460786717503522,0.876098704580508
"ENSMUSG00000009551",0.0774098601416201,-1.67784611285302,3.06756075417554,-0.546964264870432,0.584403283013636,0.876098704580508
"ENSMUSG00000009900",1.23524101126736,-3.63412723896647,3.02910877412275,-1.19973480979366,0.230242349311484,0.876098704580508
"ENSMUSG00000010505",0.00114592871763214,-1.26243835572177,3.06913841445554,-0.411333144760018,0.680828268950283,0.876098704580508
"ENSMUSG00000010529",0.30881025281684,-1.72502604588146,3.06715443518544,-0.5624190376893,0.573830551167177,0.876098704580508
"ENSMUSG00000011463",0.0013830174178319,-1.25782269784336,3.0691383353721,-0.409829261635697,0.681931199330171,0.876098704580508
"ENSMUSG00000012520",0.62805240844247,-2.07185916990371,3.05984691208134,-0.677112035155515,0.498334873447521,0.876098704580508
"ENSMUSG00000013418",0.274642048583684,-1.72502604588146,3.06715443518544,-0.5624190376893,0.573830551167177,0.876098704580508
"ENSMUSG00000013928",0.549284097167367,-2.25679853636401,3.05984996089455,-0.737552025493509,0.460786717503522,0.876098704580508
"ENSMUSG00000014725",1.5440512640842,-3.96773747015156,3.01726877725869,-1.3150096206399,0.188506669184869,0.876098704580508
"ENSMUSG00000015709",1.54672248026773,-1.65007078036869,2.56025453854215,-0.64449481703029,0.519254617483871,0.876098704580508
"ENSMUSG00000015787",0.617620505633681,-2.25679853636401,3.05984996089455,-0.737552025493509,0.460786717503522,0.876098704580508
"ENSMUSG00000016179",1.5440512640842,-3.96773747015156,3.01726877725869,-1.3150096206399,0.188506669184869,0.876098704580508
