ID,GroupLabel,Statistic,AGE,HEIGHT,WEIGHT,HRsupine,SBPsupine,DBPsupine,HRseated,SBPseated,DBPseated,TIMETOT,WKLD @ VO2PK,MAX WKLD,HRPK,VO2PK,VCO2PK,RERPK,REL VO2PK,VEPK,VTPK,BR FREQPK,FEO2PK,FECO2PK,SBPPK,DBPPK,RPEPK,VT1,VT2,VT3,VT FINAL,%VO2MAX @ VT,HR @ VT,%MHR @ VT
1,Control,Mean,36,175.02,77.6,72,118,76,81,119,80,10.91,240,217,152,2.95,3.15,1.24,36.63,117.80,2.63,45.15,17.85,3.70,180,82,17,NA,0.69,0.76,NA,NA,32.08,NA
2,Control,SD,7,7.97,10.3,16,13,8,21,12,7,1.55,43,90,80,0.54,1.14,0.09,5.27,27.28,0.49,8.07,0.31,0.41,26,12,2,NA,0.91,1.02,NA,NA,54.38,NA
3,Control,SEM,2,2.52,3.3,5,4,3,7,4,2,0.49,14,28,25,0.17,0.36,0.03,1.67,8.63,0.16,2.55,0.10,0.13,8,4,1,NA,0.29,0.3212,NA,NA,17.19578078,NA
4,Exercise,Mean,34,179.22,76.8,72,121,76,80,121,77,11.22,255,258,167,3.16,3.58,1.25,40.94,119.55,3.05,39.64,17.59,3.95,177,79,18,1.57,1.04,0.67,9.64,42.52,68.48,NA
5,Exercise,SD,7,6.75,10.7,11,10,7,13,10,8,1.41,34,32,57,0.45,0.96,0.12,6.76,21.75,0.54,6.28,0.53,0.43,17,9,2,1.23,1.21,1.08,26.69,48.98,73.60,NA
6,Exercise,SEM,2,1.51,2.4,2,2,2,3,2,2,0.32,8,7,13,0.10,0.21,0.03,1.51,4.86,0.12,1.40,0.12,0.10,4,2,0,0.274403156,0.27,0.240418057,5.967467349,10.9517831,16.45798741,NA
