,corr,name
threshold,1.0,threshold
Hba.a1,-0.1462998933431374,Hba.a1
Saa1,-0.1429207290238188,Saa1
Cyp7a1,-0.1392460278603548,Cyp7a1
Orm2,-0.13249085631111435,Orm2
Hbb.bt,-0.13051132608187954,Hbb.bt
Onecut1,-0.1300964335808036,Onecut1
Serpina1e,-0.12563121868313776,Serpina1e
Mup17,-0.1215377138251272,Mup17
Slco1a1,-0.12066369967057654,Slco1a1
Neb,-0.11764954070982289,Neb
Hba.a2,-0.11460011491612056,Hba.a2
Tsku,-0.11373935829307748,Tsku
Vsig4,-0.11276735756447412,Vsig4
Phlda1,-0.11064376297848352,Phlda1
Gm2000,-0.10942293226454548,Gm2000
Dusp1,0.10931566120840519,Dusp1
Selenow,-0.10790464613782434,Selenow
Fcna,-0.10732230571084753,Fcna
Gpcpd1,-0.10533262368972299,Gpcpd1
ND1,-0.10489277535257235,ND1
ND6,-0.10466608243165758,ND6
Rnf125,0.10465735554449565,Rnf125
Tpm1,-0.10333994376434803,Tpm1
Mt2,-0.1019299751751813,Mt2
CYTB,-0.10013810877565259,CYTB
Mup10,-0.09939158304743277,Mup10
Dcn,-0.09911138204363518,Dcn
Uqcrq,-0.09838766340805408,Uqcrq
Mt1,-0.09822220421011911,Mt1
Echdc2,-0.09811197237309674,Echdc2
Tmsb4x,-0.09790948581634587,Tmsb4x
Zc3h11a.1,-0.09676313473885997,Zc3h11a.1
Nr4a1,0.09669676295056225,Nr4a1
Rpl26,-0.09630346116476182,Rpl26
COX1,-0.09627239391629602,COX1
Gm10925,-0.09542626936920505,Gm10925
ND2,-0.0938345387420332,ND2
Rps12,0.09331759207510847,Rps12
Txnip,-0.09206255686798112,Txnip
Nlrp6,-0.09204311555920382,Nlrp6
Por,-0.09195020121906806,Por
Clec2d,-0.09179656797355819,Clec2d
Cd59a,-0.09080162573552977,Cd59a
H2ac19,-0.0905659257369886,H2ac19
Gm10222,-0.09047398140361891,Gm10222
G0s2,-0.09037424783057917,G0s2
Ppp1r3c,0.09025995561266754,Ppp1r3c
Gstp1,-0.08988208522198442,Gstp1
Apoa1,-0.08987399330168132,Apoa1
Rps18,-0.08975995316690866,Rps18
Egfr,-0.08970839178764611,Egfr
Sik1,0.0888251265283995,Sik1
Gm15500,-0.08851189497998528,Gm15500
Lpin1,-0.08818760768198224,Lpin1
Chkb,-0.08805268996217958,Chkb
ND4,-0.08765037577930923,ND4
Junb,0.08724539579769375,Junb
Sema4g,-0.08714877802440912,Sema4g
Ifi27,-0.08663273869233129,Ifi27
Fetub,-0.08597166198944454,Fetub
Cyp3a41b,-0.08591750420761769,Cyp3a41b
Syne1,0.0852825662145049,Syne1
Bst2,-0.08518218856292874,Bst2
ATP8,-0.08390980467237705,ATP8
Angptl4,-0.08388422234593876,Angptl4
Rps15,-0.08316719821880754,Rps15
Gcgr,-0.08301548193356381,Gcgr
Gm5424,0.08291845363922942,Gm5424
Gstt2,-0.08284202634193641,Gstt2
C1qa,-0.0823840284920823,C1qa
Rpl35a,-0.08234417533690368,Rpl35a
BC024386,-0.08227092230490178,BC024386
Tcim,-0.08118397081979001,Tcim
Ttc39c,-0.08108960721640991,Ttc39c
ND5,-0.08086838602898835,ND5
Enpp2,-0.08075548002860693,Enpp2
Cpeb4,0.08040762587654333,Cpeb4
Ahcyl2,0.08004499892825581,Ahcyl2
Rplp2,-0.08000646501442399,Rplp2
Cyp2a22,-0.07996546969745626,Cyp2a22
Hpx,-0.07962550054230201,Hpx
Neat1,-0.07928221717379798,Neat1
Ndufa8,-0.07876222774898745,Ndufa8
Rps26,-0.0786014863450617,Rps26
Pex11a,-0.07834328291242772,Pex11a
Prodh2,-0.07830729907178516,Prodh2
Cyp2c40,-0.07824093667231677,Cyp2c40
Ndufa3,-0.07790078744942523,Ndufa3
Ndufb10,-0.07767020477430599,Ndufb10
Eif1,-0.0774977623539753,Eif1
Aldoa,-0.07719700022731446,Aldoa
Elob,-0.07675866879486665,Elob
Apoc3,-0.07623830080007905,Apoc3
Hhex,-0.07617855257164928,Hhex
Mafb,0.07603498236495489,Mafb
Gng5,-0.07596726393976094,Gng5
Zbtb16,-0.0758395366237282,Zbtb16
Rpl18a,-0.07541939077450727,Rpl18a
Nnt,0.07512729062913331,Nnt
Vps13c,0.07474316900422091,Vps13c
Tmed5,-0.07473805231953529,Tmed5
Insig2,0.07449351376913735,Insig2
Rps20,-0.07421586834789522,Rps20
Cyp2c69,-0.07413583826164387,Cyp2c69
Klf9,-0.07408942793115977,Klf9
Ndufb11,-0.0739552560930221,Ndufb11
Rps16,-0.07381333095976463,Rps16
Spata13,0.07378086459416322,Spata13
Nnmt,-0.07365361803570071,Nnmt
Bloc1s1,-0.07357370519368106,Bloc1s1
