"ENSEMBL","ENTREZID"
"ENSMUSG00000022596","57277"
"ENSMUSG00000023041","16688"
"ENSMUSG00000025431","11571"
"ENSMUSG00000026983","54450"
"ENSMUSG00000026984","54448"
"ENSMUSG00000028236","242285"
"ENSMUSG00000028386","30936"
"ENSMUSG00000040113","240879"
"ENSMUSG00000047884","101533"
"ENSMUSG00000048399","71338"
"ENSMUSG00000053719","16618"
"ENSMUSG00000071019","242286"
"ENSMUSG00000073602","383548"
"ENSMUSG00000074625","545481"
"ENSMUSG00000079025","83492"
"ENSMUSG00000090314","66533"
"ENSMUSG00000095870","631101"
"ENSMUSG00000099906","105661730"
"ENSMUSG00000102098","69566"
