sample,image_name,label,env_split,mean_activation,max_activation,spread_variance,contrast,homogeneity,energy,correlation,num_activation_clusters,avg_cluster_size,cluster_connectivity_normalized,center_of_mass_x,center_of_mass_y,normalized_moment_skewness,normalized_moment_kurtosis,radial_mean_activation_1_5px,radial_mean_activation_6_10px,radial_mean_activation_11_15px,radial_mean_activation_16_20px,radial_mean_activation_21_25px,radial_mean_activation_26_30px,radial_mean_activation_31_35px,radial_mean_activation_36_40px,radial_mean_activation_41_45px,radial_mean_activation_46_50px,radial_mean_activation_51_55px,radial_mean_activation_56_60px,radial_mean_activation_61_65px,radial_mean_activation_66_70px,radial_mean_activation_71_75px,radial_mean_activation_76_80px,radial_mean_activation_81_85px,radial_mean_activation_86_90px,radial_mean_activation_91_95px,radial_mean_activation_96_100px,radial_mean_activation_101_105px,radial_mean_activation_106_110px,radial_mean_activation_111_115px,radial_mean_activation_116_120px,radial_mean_activation_121_125px,radial_mean_activation_126_130px,radial_mean_activation_131_135px,radial_mean_activation_136_140px,radial_mean_activation_141_145px,radial_mean_activation_146_150px,radial_mean_activation_151_155px
RR3_BRN_FLT_F2,brightness_contrast_transform/GLDS-352_SpatialTranscriptomics_NASA-RR3_Sample_158_A1.npy,1,brightness_contrast_transform,0.9768236851264365,1.0,0.1110682599875159,0.32185097177095634,0.43065956523191606,0.033356615011278526,0.54528028024788,4,0.03695255474452554,0.07491556647221376,0.4736362760929669,0.5805920653735079,0.0,0.6158838453587571,0.137241054613936,0.14754686708326298,0.15922985311631602,0.17380466357855065,0.18763388819244992,0.2039221917663105,0.2199275341902256,0.22952445805161314,0.269545654366321,0.32341837256771094,0.3996769402812868,0.4784794826103753,0.5462401397839932,0.7238403684136906,0.8981046232844386,0.9495555700982787,0.9528050482068559,0.9549940448052482,0.9562367918171931,0.9565766428003836,0.9573102882686555,0.958081711703403,0.9634813563778684,0.9811356146436342,0.9658113108401023,0.9497723478171899,0.9364733917737603,0.9237287441769074,0.9129808564688804,0.9084787213888361,0.9084830339321358
RR3_BRN_FLT_F2,brightness_contrast_transform/GLDS-352_SpatialTranscriptomics_NASA-RR3_Sample_158_B1.npy,1,brightness_contrast_transform,0.32885417880122153,1.0,0.6697567886729062,0.36126602330957114,0.6371335493854053,0.3593593155852255,0.8684331300491976,1,0.8165578179024203,0.708013509364446,0.7647486659884639,0.9837289370150555,0.6295453792794552,0.19361713847403905,0.7698328625235406,0.7850658672521533,0.7971020246129417,0.8050953913794456,0.7987987749726273,0.7866629589904528,0.7649481863825136,0.7194897669206395,0.6773240929895787,0.6365286327479143,0.5934713535965541,0.4985358072997794,0.3443383684270501,0.34661982590731555,0.3777255479413263,0.3670579086965057,0.34088909280605384,0.3192829470159325,0.300372761076477,0.28421889084409435,0.2700184427255191,0.25861108549294476,0.23015948463304375,0.19255697985143969,0.15706580839153694,0.127155022067612,0.09945409670634295,0.07492038021008163,0.052293140990745786,0.043332242564111396,0.040219560878243514
RR3_BRN_FLT_F7,brightness_contrast_transform/GLDS-352_SpatialTranscriptomics_NASA-RR3_Sample_158_C1.npy,1,brightness_contrast_transform,0.2230443147392051,1.0,0.40375635396574905,0.8125427692374013,0.4182291526097195,0.24859603329661253,0.4362019320553827,1,0.8980983480599309,0.8268345102855388,0.25276659378087496,0.5884030241460234,0.6477321830303346,0.1949778572740848,0.590042372881356,0.6062742779935822,0.6205637157602224,0.6321052838187956,0.6327060092987828,0.6292125160555623,0.6184556780850093,0.5945266295984515,0.5825036849318612,0.57459917384303,0.5710879302285676,0.5282994180612841,0.4371035338507704,0.45009091985065475,0.4545694814143588,0.4061230853328508,0.343726823627016,0.2882102989217268,0.2367803193189579,0.19086319014247904,0.15766990216499885,0.13071659134925756,0.11292361525470009,0.08415241569175184,0.062407403352819676,0.04846038293934081,0.04089411421415458,0.03493446206495665,0.030711304663400475,0.028934088834541787,0.03053892215568862
RR3_BRN_FLT_F7,brightness_contrast_transform/GLDS-352_SpatialTranscriptomics_NASA-RR3_Sample_158_D1.npy,1,brightness_contrast_transform,0.8503519050685335,1.0,0.6029554800916322,0.2583881587809622,0.7418485961226378,0.031134677623679108,0.9030530935772276,5,0.0,0.0,0.36676935135142563,0.4604124275558785,0.10291320176733648,0.11505208853779214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038747381758940824,0.09083956721007758,0.16423977421320762,0.25445799947662895,0.35194798617353984,0.5719773184561917,0.7610815351796266,0.8346851650107208,0.8575415132050331,0.8740588547539885,0.8876703697486336,0.8998170502588194,0.9118657184769928,0.9216102554643547,0.9482893579150697,0.9925979580175801,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999999,1.0
RR3_BRN_GC_G7,brightness_contrast_transform/GLDS-352_SpatialTranscriptomics_NASA-RR3_Sample_159_A1.npy,0,brightness_contrast_transform,0.47302751991972786,1.0,0.0068219072802993,0.0,0.7170563448282328,0.036629561549992015,0.8082597525906294,2,0.223780253553592,0.2688056493705866,0.4879102517110996,0.742181504197506,0.712737717878555,0.9101139111741336,0.44821092278719393,0.4151114676574903,0.3829297340214371,0.3534682421292298,0.3229581554769197,0.2961771209894199,0.27568563587902833,0.2647356878977818,0.278296397817486,0.2914492215059323,0.30349863025046003,0.2936921332353051,0.25685308752959635,0.36092490773518116,0.4605208510316966,0.4987662210177425,0.5049463879426295,0.506706526418089,0.5055684203990682,0.5036518082456741,0.502038710472311,0.5003504565157244,0.5034860084343807,0.5238106231567039,0.530247629890745,0.5354593272285033,0.5420673807584288,0.5488730422537518,0.5540396479767737,0.5559995177651861,0.553493013972056
RR3_BRN_GC_G7,brightness_contrast_transform/GLDS-352_SpatialTranscriptomics_NASA-RR3_Sample_159_B1.npy,0,brightness_contrast_transform,0.3068065115301796,1.0,0.7699892204254181,0.6769851661467007,0.5082262964644328,0.25777599535258233,0.7429490542765507,2,0.4125048021513638,0.8708934602394842,0.6974588279923548,0.3301062832472912,0.6740845087985164,0.1378915079540421,0.9463276836158192,0.9292982604289816,0.911949186184994,0.8938132998351259,0.8651359113918025,0.8351408254876257,0.805813042718764,0.7836013361715362,0.7752217423909391,0.7738085620883353,0.7791833570993261,0.7328253311567747,0.6198103293280491,0.5813221575441957,0.5479838024579486,0.4589927282106162,0.3673400123188315,0.2926707529954234,0.22938948588406002,0.1767364312275291,0.14163936193560062,0.11656921516185556,0.0917385544240046,0.06467047205693079,0.04444274151759975,0.029811041712204854,0.019301146518498707,0.010192970534537386,0.003130103429504627,3.4445343850644985e-05,0.0
RR3_BRN_FLT_F1,brightness_contrast_transform/GLDS-352_SpatialTranscriptomics_NASA-RR3_Sample_159_C1.npy,1,brightness_contrast_transform,0.5701140832780056,1.0,0.2441237533866083,0.26017166965714555,0.4812822716043159,0.022852565252519788,0.7283745464185358,2,0.24851133307721857,0.340804421246546,0.4516231287421675,0.7971172352487939,0.37613588298848194,0.2717865609063079,0.5769774011299436,0.582228508697855,0.5865555114463412,0.5898955798068618,0.5846094035132263,0.5775036745719621,0.5695891537954392,0.5713044830378065,0.6017532517907476,0.6522600832619736,0.732452117934548,0.7948447955737767,0.8179136226085412,0.8529949751987863,0.862136829586,0.7679071181925619,0.6596231443188817,0.5713659447368491,0.4964713024561759,0.4355825953402228,0.3995006218163197,0.3741639767591995,0.3599215218292695,0.3636465950606881,0.34941139549989414,0.3340743462266476,0.31960874904254155,0.3082616277641781,0.29696289239702417,0.2920276251657682,0.2857285429141717
RR3_BRN_FLT_F1,brightness_contrast_transform/GLDS-352_SpatialTranscriptomics_NASA-RR3_Sample_159_D1.npy,1,brightness_contrast_transform,1.0,1.0,0.2678196774547459,0.21597724003038987,0.588453523596612,0.019085203682916968,0.7836547129686551,3,0.13458829555640928,0.32975130488179305,0.44063749553467835,0.58485938921359,0.07909284372748299,0.4009786243744815,0.05373116760828625,0.06544502617801047,0.07880111155220326,0.09532268195022373,0.11207731001761376,0.13164236814576463,0.15244304446560691,0.17060315383666752,0.2222750898606191,0.2902105246150614,0.38421622517144066,0.4869842614861244,0.5824016510718039,0.7718342138391848,0.9515678390062486,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.974474342974332,0.9522837304263305,0.9363092560395873,0.9216410273204358,0.9099641625839232,0.9062397740385443,0.9083832335329342
RR3_BRN_GC_G9,brightness_contrast_transform/GLDS-352_SpatialTranscriptomics_NASA-RR3_Sample_304_A1.npy,0,brightness_contrast_transform,0.8298232756187103,1.0,0.2708601101492538,0.4000452613032024,0.13308637719439353,0.011656200157197497,0.6334102231307952,3,0.13762965808682293,0.3619895609456556,0.6408075332594507,0.7176275614103698,0.18353249545689138,0.308965390762385,0.05973399246704331,0.06814727242019929,0.07747783511975652,0.08927730234749154,0.10107269236262079,0.1152359008991115,0.13150346832860935,0.14884479070041767,0.20072405678673944,0.26778472525164393,0.3592116396168252,0.4574636444067839,0.5461008622545233,0.7130644831556182,0.8519520114779785,0.8696274795877907,0.8485600794438929,0.8324596406812427,0.8216104842214674,0.8156930222434853,0.8167894256573349,0.8215844323526699,0.8219395030390064,0.8600682199892649,0.8725797152219764,0.880165193167179,0.8882114068256151,0.8961545074216287,0.9019801306477953,0.9048102922687424,0.8991017964071857
RR3_BRN_GC_G9,brightness_contrast_transform/GLDS-352_SpatialTranscriptomics_NASA-RR3_Sample_304_B1.npy,0,brightness_contrast_transform,0.3860882435548986,0.0,0.0433522706529792,0.4777707730522821,0.2834973238445524,0.017004072223539723,0.2607787477834336,4,0.06072320399538993,0.2350322382560639,0.3840102065591666,0.6379195379225464,0.5239161723687712,0.6603126827818685,0.5811558380414313,0.5317725046444858,0.48385602752414986,0.4386923922430713,0.3921595074501341,0.34994504694182926,0.31457825011410834,0.28699270253025416,0.28080473740011896,0.27081145417629343,0.2516611541397204,0.2035290159378933,0.12439382620696637,0.23131301176040198,0.3422061127786903,0.404206012218454,0.4318190388797406,0.45071449132601465,0.4632171511487526,0.4697578533897035,0.46974661466254436,0.466747210181684,0.4543643369302495,0.4464571201006562,0.41927032017457433,0.3967240409076323,0.3749589660664568,0.35221011437413524,0.3306115042641989,0.31710383548903776,0.3102794411177645
