Setup,CV_scheme,n,n_features,Spearman,p_value,n_shuffles,null_mean,RMSE,floor_RMSE,checkpoint
Biomni A10G (primary),LOOCV,38,628,0.3762038995750089,0.0069930069930069,1000,-0.3928188354509839,0.0166651566220103,0.0174805537368853,default (311ce18d)
Biomni A10G (OOD checkpoint),LOOCV,38,628,0.3742157403875896,0.0099502487562189,200,-0.3998453213791883,,,OOD (fe1a5aa9)
TabICL+XGBoost (sparse echo),LOOCV,54,8,0.303251349536578,0.0298507462686567,200,-0.0726721424900199,0.0201369873536374,0.020271360579571,TabICL 2.1.1
