Arm,n,Mean (g/cm^2),SD,Range,Lost bone,t-test p,95% CI
CONTROL,11,-0.013182,0.021009,"[-0.050, +0.030]",10/11,0.0641,"[-0.027, +0.001]"
EXERCISE,19,-0.001316,0.016486,"[-0.040, +0.035]",7/19,0.732,crosses 0
FLY,8,-0.005625,0.010155,"[-0.020, +0.010]",5/8,0.1612,crosses 0
POOLED,38,-0.005658,0.017249,"[-0.050, +0.035]",22/38,—,—
