ProbeID	GeneSymbol
ILMN_2753726	Olfr813
ILMN_2798993	Nr1d2
ILMN_2620106	Dhcr24
ILMN_2678547	Lypla1
ILMN_2734520	Lypla1
ILMN_2873319	Lypla1
ILMN_2974069	Slc35a3
ILMN_2673355	Gpr157
ILMN_2749317	Itih1
ILMN_3141801	Wfdc15b
ILMN_1259467	Wfdc15b
ILMN_2482494	Trim16
ILMN_2673889	Mcm7
ILMN_1256476	Perp
ILMN_2731135	Syce2
ILMN_1242682	Mospd4
ILMN_1218764	Mospd4
ILMN_2667618	Copg2
ILMN_2767635	Vmp1
ILMN_2591777	Vmp1
ILMN_2616768	Vmp1
ILMN_2630772	Tceal5
ILMN_2599783	Plec
ILMN_3160683	Bbs12
ILMN_1260603	Bbs12
ILMN_2617352	Grin2b
ILMN_1255902	Smc4
ILMN_2758198	Sord
ILMN_2752873	Lgals9
ILMN_2716602	Lgals9
ILMN_2778043	Lgals9
ILMN_2616772	Slc39a9
ILMN_2848122	Ccdc83
ILMN_2838564	Tsku
ILMN_2631903	Tescl
ILMN_2600180	Gm4884
ILMN_2629601	Slc4a7
ILMN_1247220	Tbx3
ILMN_1248304	Ndufaf1
ILMN_2541482	Gm7616
ILMN_3024781	Eif4e1b
ILMN_1254206	Eif4e1b
ILMN_1216149	Gstm3
ILMN_2707052	Ssxb1
ILMN_2627299	Akap9
ILMN_3006333	Faah
ILMN_2633350	Mfap4
ILMN_2614842	Gpihbp1
ILMN_1217969	Gpihbp1
ILMN_2722268	Cngb3
ILMN_2769554	Serpini2
ILMN_2635402	Olfr849
ILMN_1218761	Lzts2
ILMN_2719614	Erc1
ILMN_2825260	1110059G10Rik
ILMN_2727722	Pla2g4f
ILMN_1231037	1700001F09Rik
ILMN_2769521	Ptafr
ILMN_2753173	Cend1
ILMN_2728456	Hsfy2
ILMN_2463630	Zfp654
ILMN_2696620	Rwdd4a
ILMN_1249124	Thap2
ILMN_2932453	P2rx1
ILMN_2932455	P2rx1
ILMN_2749909	Serpinb5
ILMN_1215218	Antkmt
ILMN_1213136	Pim2
ILMN_1214899	Phospho1
ILMN_2940541	Git1
ILMN_3161703	Olfr987
ILMN_2739807	Tcl1b3
ILMN_2607776	Prl4a1
ILMN_1239205	Ptcd2
ILMN_1227209	Ptcd2
ILMN_2618795	Ptcd2
ILMN_1239137	Mdp1
ILMN_2590828	Olfr483
ILMN_2696575	Ctnnb1
ILMN_2994460	Ctnnb1
ILMN_1213569	2310047D07Rik
ILMN_2608073	Nap1l5
ILMN_2611472	Ap1s3
ILMN_2606532	Ap1s3
ILMN_2908485	Ap1s3
ILMN_2675122	Apobec2
ILMN_2695158	Kifc2
ILMN_2595460	Ccdc42
ILMN_2712075	Lcn2
ILMN_2450949	Sypl
ILMN_2530637	Uhrf1bp1
ILMN_2487847	Uhrf1bp1
ILMN_2899133	Uhrf1bp1
ILMN_2992047	Rhof
ILMN_1228500	2310034C09Rik
ILMN_2753444	Stxbp4
ILMN_2788475	Stxbp4
ILMN_2796089	Anapc13
ILMN_1216822	Insig2
ILMN_1234858	Insig2
ILMN_3029849	Cebpe
ILMN_3103062	Cebpe
ILMN_2528453	Cebpe
ILMN_1220301	Cebpe
ILMN_2687602	Pou2f2
ILMN_2481962	Stx17
ILMN_3163539	Zmiz2
ILMN_3162729	Zmiz2
ILMN_3108770	Kdm2b
ILMN_2857692	Zfp369
ILMN_2769832	Tfcp2l1
ILMN_2703720	Bclaf1
ILMN_2668815	Bclaf1
ILMN_3052870	Pkib
ILMN_2589057	Timd4
ILMN_1238115	Skint4
ILMN_1240515	Wipi2
ILMN_2682516	Wipi2
ILMN_1254883	Fip1l1
ILMN_1259484	Fip1l1
ILMN_1223293	Pde1c
ILMN_3141964	Pde1c
ILMN_1223545	Pde1c
ILMN_1218467	Pde1c
ILMN_2544603	Rbm25
ILMN_2532884	Hs3st2
ILMN_1257908	Slco6c1
ILMN_2630160	Clip2
ILMN_1240624	ccdc198
ILMN_2966034	Zfp365
ILMN_1213393	Cd300lb
ILMN_1217890	Prkca
ILMN_3072407	Ifi214
ILMN_3151243	Ifi209
ILMN_1250523	Ifi209
ILMN_1247871	Pramel21
ILMN_3002290	H3c8
ILMN_2516699	Ubb
ILMN_1255385	Chst1
ILMN_2853619	Abhd6
ILMN_1246321	Gstm6
ILMN_2656986	Zfp677
ILMN_2445926	Xylb
ILMN_2943270	Lrrn4cl
ILMN_2613422	Itk
ILMN_2772710	Ms4a6c
ILMN_2505283	Tmem165
ILMN_1237656	Rfx5
ILMN_1238520	Clk2
ILMN_1237842	Clk2
ILMN_2588073	Vmn2r92
ILMN_2612880	Kdm7a
ILMN_1234387	Acp1
ILMN_2620574	Atg16l1
ILMN_2631576	Dnajb11
ILMN_2646187	Gbp8
ILMN_2647739	Nfatc1
ILMN_1224430	Nfatc1
ILMN_2677016	Dhx16
ILMN_3162291	Foxr1
ILMN_2769178	Tfcp2
ILMN_3065420	Adora1
ILMN_3143358	Adora1
ILMN_1254016	Adora1
ILMN_2761495	Mybph
ILMN_1221961	Nectin3
ILMN_2773800	Mmp17
ILMN_2645544	1700013D24Rik
ILMN_2595232	AA986860
ILMN_2630707	Fam83c
ILMN_1234950	H3f3a
ILMN_1234487	Angpt2
ILMN_2642165	Angpt2
ILMN_2713866	Ptger3
ILMN_2454317	Fam169a
ILMN_1238285	Dcun1d5
ILMN_2741538	Maf1
ILMN_2773633	Prss29
ILMN_2598852	Ranbp1
ILMN_2788546	Coro1b
ILMN_1256246	Efhd2
ILMN_2996983	Spink6
ILMN_2996988	Spink6
ILMN_1216048	Rpl7a
ILMN_2677792	Cyp2c39
ILMN_2727785	Cbr4
ILMN_2731024	Pah
ILMN_2492627	Suco
ILMN_1242378	Suco
ILMN_2849708	Ccdc102a
ILMN_1226683	Psmb8
ILMN_2962473	Sstr5
ILMN_2747168	Ddx5
ILMN_1215167	Ddx5
ILMN_3160479	Olfr94
ILMN_1224622	Ero1a
ILMN_2727376	Ero1a
ILMN_1214416	Zfp143
ILMN_2588432	Slco6b1
ILMN_2610470	Serpinb9g
ILMN_2656645	Rell1
ILMN_2649172	Zcchc18
ILMN_2704429	Doc2g
ILMN_1223283	Olfr482
ILMN_1241866	Arpp21
ILMN_2685183	Arpp21
ILMN_1246764	Fam122b
ILMN_2435592	Zbtb37
ILMN_2652270	Prelid3a
ILMN_1225522	Trpc4ap
ILMN_2940595	Trpc4ap
ILMN_2434503	Trpc4ap
ILMN_1232514	St3gal5
ILMN_1225919	Znrf4
ILMN_1255561	Hspa5
ILMN_2437900	Parg
ILMN_1218914	Rbp7
ILMN_2733708	Rbp7
ILMN_1216323	Lrrtm2
ILMN_2908981	Armc8
ILMN_1244349	Klhl8
ILMN_2623216	Pgrmc1
ILMN_2482427	Zfp106
ILMN_2598962	Iglon5
ILMN_2647476	Lrrc40
ILMN_2506388	4933412E12Rik
ILMN_2527301	Ppp1r26
ILMN_1254417	Iqcd
ILMN_1236359	Eif1a
ILMN_2627041	Cx3cl1
ILMN_3136894	Naip5
ILMN_3059557	Naip5
ILMN_2420209	Nhsl2
ILMN_1217767	Glrx5
ILMN_2764865	Oma1
ILMN_2537305	Gm6327
ILMN_1222947	Olfr1084
ILMN_2439632	Yars
ILMN_2735754	Otoa
ILMN_2669750	Otoa
ILMN_2749280	Clec1b
ILMN_2605372	Clec1b
ILMN_2837969	Serpinb3a
ILMN_2687408	Serpinb3a
ILMN_2755702	Serpinb3a
ILMN_2747430	Atp7a
ILMN_1221994	Tbl2
ILMN_3026137	Dbndd2
ILMN_2417221	Rapgef1
ILMN_1241825	Lor
ILMN_1233908	Gm3676
ILMN_1226553	Map2
ILMN_2709782	Map2
ILMN_1220049	Rhot1
ILMN_2992232	Mlxipl
ILMN_1234231	Nop56
ILMN_2718157	Impa1
ILMN_1231147	Tspan13
ILMN_1216308	Zfp574
ILMN_2836721	Gm16387
ILMN_1214127	Spef1
ILMN_2747229	Raf1
ILMN_1260020	Pcdh1
ILMN_2597660	Pcdh1
ILMN_2878636	Gpr4
ILMN_2725504	Ddx52
ILMN_2633907	Olfr638
ILMN_2633912	Lca5l
ILMN_2748384	Zfp710
ILMN_2629335	Nxf7
ILMN_1251170	Aff4
ILMN_1231724	Resp18
ILMN_1219762	Dgat2l6
ILMN_2539109	Rpl29
ILMN_2616274	Dot1l
ILMN_2590010	Spred2
ILMN_2598998	Spred2
ILMN_2839142	Fam207a
ILMN_2839145	Fam207a
ILMN_2533840	Zfp873
ILMN_2736566	Lmf2
ILMN_1234425	Iscu
ILMN_2815177	Olfr943
ILMN_2961604	Zfp42
ILMN_2690551	Nfkbie
ILMN_1238752	Nfkbie
ILMN_2980560	Dnaaf6
ILMN_2645001	Dnaaf6
ILMN_2652615	Otor
ILMN_2703585	Nipsnap2
ILMN_1247947	Sqor
ILMN_2630811	Rere
ILMN_2484627	Zfr
ILMN_2872334	Rfpl4
ILMN_2689785	Cd68
ILMN_1237625	Pced1b
ILMN_2656715	Pced1b
ILMN_2451699	Zmym1
ILMN_2815515	Zmym1
ILMN_1227630	Zmym1
ILMN_2759933	Gna15
ILMN_2556208	Map7d3
ILMN_1248787	Slx4
ILMN_2687794	Tbx15
ILMN_1256117	Hrh3
ILMN_1250766	Nectin3
ILMN_1242221	Ppp1r14b
ILMN_3137207	Eml1
ILMN_1214866	Eml1
ILMN_2678755	Rpl22l1
ILMN_2680781	Arl8a
ILMN_1255054	Tbata
ILMN_1235062	Fam167b
ILMN_1259447	Acbd6
ILMN_2707798	Slc15a3
ILMN_2750588	Tmem132a
ILMN_1226606	Tmem132a
ILMN_2734262	Fbxo43
ILMN_2665757	Cd209e
ILMN_1219931	Elmod2
ILMN_2782061	Slc4a3
ILMN_2675026	Slc4a3
ILMN_1257117	Nop14
ILMN_2741277	Snrpn
ILMN_2748091	Snrpn
ILMN_1247894	Snrpn
ILMN_3163504	Mettl4
ILMN_1222723	Rps13
ILMN_2677056	Chp1
ILMN_1252602	Chp1
ILMN_1218993	Polr3h
ILMN_1219494	Trim43b
ILMN_2669938	Eda
ILMN_1253602	4930523C07Rik
ILMN_2498592	Ovol2
ILMN_2761169	Zc2hc1a
ILMN_2600202	Dhx33
ILMN_2788984	Acaa2
ILMN_1256378	Lrrc49
ILMN_2665001	Lrrc49
ILMN_2648990	Slco1a4
ILMN_1258323	Slco1a4
ILMN_2939185	Wdr83os
ILMN_2595477	Cldn7
ILMN_1234294	Tmem107
ILMN_2732649	Tmem107
ILMN_2759563	Castor1
ILMN_2525274	Crim1
ILMN_1256087	Crim1
ILMN_2842783	Trim43a
ILMN_2660555	Bcl2a1b
ILMN_1248921	Ccdc24
ILMN_2990229	Snrnp25
ILMN_1252687	Gm6497
ILMN_2547610	Gpbp1
ILMN_1250515	Khdc1c
ILMN_2835807	Khdc1c
ILMN_2949877	Eva1c
ILMN_1224076	Fam220a
ILMN_2695228	Fam220a
ILMN_1215246	Mccc1
ILMN_3160517	Cox17
ILMN_2810331	Prpf40b
ILMN_1249348	Prpf40b
ILMN_2590421	Spock1
ILMN_2878742	Gm906
ILMN_2595637	Dnajc16
ILMN_1247873	Dnajc16
ILMN_2756486	Aqp1
ILMN_2760531	Col6a4
ILMN_2457827	Znhit3
ILMN_1253189	Inafm1
ILMN_2917497	Fcgrt
ILMN_3160218	Jaml
ILMN_2726005	Plekhg4
ILMN_2606470	Clip4
ILMN_2768647	Acot1
ILMN_3117381	Fhl1
ILMN_3150677	Sprr2a1
ILMN_3071908	Sprr2a1
ILMN_2751572	Slain1
ILMN_2431619	Ube2l6
ILMN_3092125	Ubb
ILMN_2999158	Fggy
ILMN_2777462	Pnpla3
ILMN_2630319	Ajuba
ILMN_2730784	Gps2
ILMN_2849359	Ciao2b
ILMN_2571683	Ptbp1
ILMN_2868152	Krtdap
ILMN_2743650	Setd5
ILMN_3130719	Sybu
ILMN_3162604	Spag11b
ILMN_2617971	Minpp1
ILMN_1237235	Minpp1
ILMN_2703702	Minpp1
ILMN_1253545	Minpp1
ILMN_2703704	Minpp1
ILMN_2733651	Minpp1
ILMN_3109989	Pfdn4
ILMN_3036114	Pfdn4
ILMN_2905589	Slc6a1
ILMN_1221454	Tnfrsf23
ILMN_2423835	Wnt6
ILMN_3001341	Cnnm1
ILMN_2657394	Cnnm1
ILMN_2737338	Sos1
ILMN_2512442	Zfp395
ILMN_1212848	Rybp
ILMN_2734564	Tmem53
ILMN_2656884	Tmem53
ILMN_3157649	Puf60
ILMN_2594926	Cyp2b10
ILMN_1215955	Cyp2b10
ILMN_2618793	Cops6
ILMN_2610885	Atp6v0d2
ILMN_1236908	Tlr1
ILMN_2657702	Ghrhr
ILMN_2596001	Ghrhr
ILMN_1217123	Ikzf2
ILMN_1218955	Utp25
ILMN_2631230	Utp25
ILMN_2612564	Utp25
ILMN_2738031	Utp25
ILMN_2522155	Ttyh2
ILMN_3004676	Olfr1487
ILMN_2717136	Olfr1487
ILMN_2471793	Ube2l3
ILMN_2475727	Ube2l3
ILMN_3101289	Dhtkd1
ILMN_1221448	Tet2
ILMN_1257360	Hypk
ILMN_2977390	Tmem267
ILMN_2651054	Sytl1
ILMN_2765569	Cdh8
ILMN_2925711	Dusp6
ILMN_1251519	Wrap53
ILMN_3162587	Kcna6
ILMN_2613303	Brd8
ILMN_1216763	Brd8
ILMN_2737826	Brd8
ILMN_2727768	Dlec1
ILMN_1251972	Padi2
ILMN_2540212	Hmgb1
ILMN_3009010	Suz12
ILMN_2764991	Suz12
ILMN_1233613	Dis3
ILMN_2541562	Il20rb
ILMN_2657009	Mettl5
ILMN_1249994	Tbx15
ILMN_1241294	Olfr420
ILMN_2476579	Calcoco2
ILMN_2611180	Ccdc3
ILMN_2720828	Hccs
ILMN_2840856	Ripk4
ILMN_2491824	Atxn7
ILMN_1234931	Derl3
ILMN_1230242	Zfp987
ILMN_2528143	Mettl15
ILMN_2527381	Ctsb
ILMN_2684575	Pcyox1l
ILMN_1217820	Pramel20
ILMN_2708519	Fbxw8
ILMN_1251236	Fbxw8
ILMN_1225476	Ceacam16
ILMN_2981536	Ceacam16
ILMN_1227693	Ints5
ILMN_2518406	Vil1
ILMN_1216916	Dars
ILMN_2796798	Prxl2a
ILMN_1214793	Commd5
ILMN_2448615	Zrsr1
ILMN_1249560	Pyroxd2
ILMN_1217599	Rab33b
ILMN_3160787	Uba2
ILMN_2738825	Acta1
ILMN_2605453	Ranbp10
ILMN_2641816	Slurp1
ILMN_2614246	Dnajb4
ILMN_1237750	Polr2f
ILMN_2435302	Rnf13
ILMN_2802487	Defb29
ILMN_2662734	Atp8b1
ILMN_2977129	Atp8b1
ILMN_1254398	Atp8b1
ILMN_1216381	Nfic
ILMN_1218384	Nfic
ILMN_2881498	Tsnaxip1
ILMN_2717765	Ednrb
ILMN_2917471	Ednrb
ILMN_2735735	Cspp1
ILMN_1219480	Cspp1
ILMN_2972829	Psg23
ILMN_2807665	Gatc
ILMN_2554253	Rbms3
ILMN_2732961	Mff
ILMN_2598648	Mff
ILMN_2998593	Mff
ILMN_1221986	Ptov1
ILMN_2741737	Desi2
ILMN_2883795	Dcun1d4
ILMN_2799145	Taar7a
ILMN_2910221	Mmgt1
ILMN_2638850	Celf4
ILMN_1243635	Celf4
ILMN_2466497	Map3k2
ILMN_2746194	Stat5b
ILMN_1214822	Gfpt2
ILMN_2490699	0610010F05Rik
ILMN_2712923	0610010F05Rik
ILMN_2500194	Camk2b
ILMN_2719322	Oscp1
ILMN_2629400	Oscp1
ILMN_1258381	Enpp3
ILMN_3073529	Chrna10
ILMN_3073524	Chrna10
ILMN_2604579	4930546K05Rik
ILMN_1241786	Olfr402
ILMN_1250774	Mdm2
ILMN_1229882	Mdm2
ILMN_2715058	Npsr1
ILMN_2684515	Srpk3
ILMN_1225158	Smim14
ILMN_2950957	Rtn4ip1
ILMN_1250709	Mien1
ILMN_2620304	Arl2
ILMN_2573434	Rps6ka5
ILMN_1242617	Lpar4
ILMN_2719361	Slc7a14
ILMN_2679229	Slc7a14
ILMN_2968123	Slc7a14
ILMN_2478092	Rnmt
ILMN_2618526	Napepld
ILMN_1234100	Bsdc1
ILMN_2871111	Srp19
ILMN_2604975	Fmo2
ILMN_2602212	4930583K01Rik
ILMN_3021711	Paqr9
ILMN_2752524	Paqr9
ILMN_3094043	Paqr9
ILMN_2973089	Coq3
ILMN_2973097	Coq3
ILMN_2602938	Smpdl3b
ILMN_1239385	Rbm41
ILMN_2719569	Rbm41
ILMN_2927847	Rbm41
ILMN_2643460	Pcdhb18
ILMN_3150233	Abca3
ILMN_1259989	Ncoa4
ILMN_3132361	Ncoa4
ILMN_2475086	Ncoa4
ILMN_2673369	Irf8
ILMN_2600004	Plk4
ILMN_3009738	1600012H06Rik
ILMN_3009735	1600012H06Rik
ILMN_2618346	Gtf3c4
ILMN_1228542	Gtf3c4
ILMN_2674483	Gpx2
ILMN_1231340	Myadml2
ILMN_2568229	Ncl
ILMN_2645737	Nr1i2
ILMN_2648289	Fgf9
ILMN_3104328	Brsk1
ILMN_2540940	Brsk1
ILMN_3162369	Fbxo33
ILMN_2685725	Fbxw14
ILMN_1256339	Cpne4
ILMN_1250055	Zc3h4
ILMN_2734661	Hagh
ILMN_3099303	Nlrp9a
ILMN_1218205	Taf5
ILMN_2638968	Taf5
ILMN_1218425	Taf5
ILMN_2633212	Cox10
ILMN_2955509	Klk6
ILMN_2654679	Gm5796
ILMN_2693094	Lrch4
ILMN_2597210	Lrch4
ILMN_1246056	Gngt2
ILMN_1231472	F830016B08Rik
ILMN_2726055	Shmt1
ILMN_2673926	Cdc37l1
ILMN_2749686	Cdc37l1
ILMN_1242724	Cdc37l1
ILMN_2766313	Ptpn22
ILMN_1220975	Ptpn22
ILMN_2755333	Phka1
ILMN_1256705	Izumo4
ILMN_2837006	Znrf3
ILMN_2887381	Ncf2
ILMN_1246419	Grhl1
ILMN_2727118	Grhl1
ILMN_1256387	Tubgcp6
ILMN_2750594	Olfr1014
ILMN_1219757	Vmn1r212
ILMN_2609910	Olfr488
ILMN_2788571	Olfr488
ILMN_2817903	Gata4
ILMN_2954824	Ppp1r1b
ILMN_2651660	Ppp1r1b
ILMN_1253473	Ppp1r1b
ILMN_1256807	Prr14l
ILMN_2812016	Msh4
ILMN_2881146	Pate14
ILMN_1222817	Vps33a
ILMN_2865558	Vps33a
ILMN_2743236	Ins1
ILMN_2652749	Kat2a
ILMN_2773741	Nkrf
ILMN_2737444	Ptgs2os
ILMN_2908906	Olfr262
ILMN_1231946	Olfr262
ILMN_1258890	Olfr262
ILMN_2756353	Adgre1
ILMN_1216880	Adgre1
ILMN_2729656	Kpna4
ILMN_1230008	Lamtor3
ILMN_3115326	Spag16
ILMN_2445040	Spag16
ILMN_3040591	Spag16
ILMN_1226152	Alkbh4
ILMN_2705166	St6gal1
ILMN_2525980	St6gal1
ILMN_1247553	Selenop
ILMN_2984828	Ly6e
ILMN_1232871	Olfr1507
ILMN_1251687	Olfr523
ILMN_1242900	Srfbp1
ILMN_2825496	Ccdc185
ILMN_1244005	Defa31
ILMN_1243257	Gm11961
ILMN_3161206	Zfp85
ILMN_2949275	Zfp637
ILMN_1214150	Gng2
ILMN_3143604	Gng2
ILMN_1239850	Abhd16b
ILMN_3024456	Timeless
ILMN_3097131	Timeless
ILMN_3154691	Sirpb1a
ILMN_2656031	Grasp
ILMN_1253198	Hsp90ab1
ILMN_3080159	Pnpt1
ILMN_2703544	Pnpt1
ILMN_2823011	Myo10
ILMN_1231287	Msi1
ILMN_2772821	Tspan15
ILMN_1233994	Prdm6
ILMN_2844642	Nipal4
ILMN_1251109	Slc25a45
ILMN_2657946	Ndufa10
ILMN_1246006	Armcx4
ILMN_2770475	C1ra
ILMN_2683916	Eif1ad
ILMN_1237895	Eif1ad
ILMN_2671671	Snx8
ILMN_2760043	Prpf40a
ILMN_2642806	Prpf40a
ILMN_1216883	Raver1
ILMN_2965577	Tle1
ILMN_1238983	Nfasc
ILMN_1213805	C8a
ILMN_1213725	Nudt5
ILMN_3034257	Cep112
ILMN_3107945	Cep112
ILMN_2492728	Prrc2b
ILMN_2979248	Tmed8
ILMN_1214070	Rbck1
ILMN_1239445	Ube2ql1
ILMN_1238691	Gpalpp1
ILMN_2434661	Clec3b
ILMN_1226137	1700110I01Rik
ILMN_1217222	1700110I01Rik
ILMN_1228320	Cfp
ILMN_2908687	Rasgrp3
ILMN_1257672	Plcb2
ILMN_2867696	Cdc42bpb
ILMN_2826278	Prl2c5
ILMN_2769171	Iqcc
ILMN_2618668	Cry1
ILMN_2593392	Rbmx2
ILMN_1241963	Rfx7
ILMN_2619048	Rfx7
ILMN_1218317	Rfx7
ILMN_1219807	Hoxd4
ILMN_3163581	En1
ILMN_2836246	Ccdc137
ILMN_2724285	Tbccd1
ILMN_2754067	Osbpl10
ILMN_2658067	1700001L19Rik
ILMN_2692167	Pnliprp2
ILMN_2990661	Pnliprp2
ILMN_1232807	Sepsecs
ILMN_2742345	Sepsecs
ILMN_1230458	Ifit3
ILMN_2649199	Hpgd
ILMN_2657074	Jade3
ILMN_1238998	Jade3
ILMN_2895908	Txlng
ILMN_1231151	4930503L19Rik
ILMN_2750543	Glce
ILMN_2734446	Pramel4
ILMN_1230882	Pramel4
ILMN_2862362	Neurod2
ILMN_1215212	Rhob
ILMN_1214166	Odf2
ILMN_1377924	Gapdh
ILMN_2623376	Olfr1395
ILMN_3161906	Kbtbd6
ILMN_2592486	Pglyrp1
ILMN_2727437	Glmp
ILMN_2793281	Glmp
ILMN_2628021	Glmp
ILMN_1257253	Iqsec2
ILMN_2824098	Iqsec2
ILMN_1217063	Liph
ILMN_2760434	Liph
ILMN_1223317	Lgals3
ILMN_1254927	Ly6c1
ILMN_3131225	Cd209c
ILMN_3054469	Cd209c
ILMN_2744014	Olfr1065
ILMN_2754011	Plcb1
ILMN_2980247	Notch2
ILMN_1225040	Gm5636
ILMN_2778111	Etv4
ILMN_3000343	Olfr140
ILMN_1231686	Kat2b
ILMN_1215305	Kat2b
ILMN_2591641	Kat2b
ILMN_2668706	Slc39a11
ILMN_2463901	Zfp7
ILMN_2457571	Maml2
ILMN_2849680	Tmem14c
ILMN_1240267	Hba-x
ILMN_1253806	Col1a2
ILMN_1224158	Prdx1
ILMN_1218353	Cnrip1
ILMN_2842155	Acsbg2
ILMN_1237546	Parm1
ILMN_2756704	Parm1
ILMN_2426223	Zmym3
ILMN_1247669	Pnrc1
ILMN_2445637	4933411K16Rik
ILMN_2982662	Tmem45a
ILMN_2982663	Tmem45a
ILMN_3005669	Wwp1
ILMN_1254720	Wwp1
ILMN_2741689	Tm2d1
ILMN_1258032	A830018L16Rik
ILMN_1218833	Pira2
ILMN_2691049	Pira6
ILMN_2574108	Zfp46
ILMN_2700168	Ccnd2
ILMN_3160203	Zfp213
ILMN_2721982	Tfe3
ILMN_1248947	Mal
ILMN_1224029	Mal
ILMN_1221067	Nme1
ILMN_2707188	Map3k7
ILMN_2850057	Clec16a
ILMN_2511806	Clec16a
ILMN_1236157	Akap17b
ILMN_2790097	Rhoc
ILMN_2749437	Rhoc
ILMN_1214686	Scn2a
ILMN_1222355	Scn2a
ILMN_2524087	Scn2a
ILMN_2794116	Pitpnm1
ILMN_1238029	Ahctf1
ILMN_3064066	Gm1527
ILMN_2620233	Fmo5
ILMN_1230890	Fmo5
ILMN_2734325	Olfr868
ILMN_2596730	Slfn8
ILMN_2613601	Mzb1
ILMN_1229979	Grin3b
ILMN_3161878	Bid
ILMN_2663033	Synb
ILMN_1218551	Mapk3
ILMN_1253995	Pex2
ILMN_1243221	Pex2
ILMN_2754225	Prpf31
ILMN_1252127	Eif4g3
ILMN_1217481	Eif4g3
ILMN_1216905	Cpsf4l
ILMN_1225712	Gm10845
ILMN_1227087	Dazap1
ILMN_2505845	Diras2
ILMN_2636303	Brcc3
ILMN_1246488	Brcc3
ILMN_1244343	Sun2
ILMN_1241709	Rgs3
ILMN_3132318	Rgs3
ILMN_2987995	Bfar
ILMN_2592174	Mis12
ILMN_2607333	Oacyl
ILMN_1237208	Lamp1
ILMN_2812286	Fgf17
