ProbeID	GeneSymbol
ILMN_1238674	Arl14ep
ILMN_2454720	Arl14ep
ILMN_3062534	Arl14ep
ILMN_3140158	Arl14ep
ILMN_1251139	Dennd4c
ILMN_2935307	Dennd4c
ILMN_2429159	Loxhd1
ILMN_2754227	Prpf31
ILMN_1225693	Gm20877
ILMN_1234015	Gm20877
ILMN_2603725	Arpc3
ILMN_2664884	Tspan17
ILMN_1229397	Slc1a1
ILMN_1225873	Slc1a1
ILMN_3003575	Cndp1
ILMN_1257702	Lars
ILMN_2899591	Lars
ILMN_2658355	Ugt3a2
ILMN_2521511	Trdn
ILMN_1250745	Zbtb42
ILMN_2691286	Zfp329
ILMN_1251148	Zfp329
ILMN_1234014	Slc35d2
ILMN_3133267	Arid4b
ILMN_2800655	Etfa
ILMN_1237148	Mga
ILMN_2651297	Vsir
ILMN_2980721	Obox1
ILMN_2436600	Krtap7-1
ILMN_2618862	Prrxl1
ILMN_3159156	Strn4
ILMN_1231158	Esco1
ILMN_2746797	Hsf4
ILMN_1250946	Chst9
ILMN_1227663	Sgms2
ILMN_2976577	Tcf12
ILMN_2593694	Lrtm1
ILMN_1241151	Lrtm1
ILMN_1258396	Mamdc4
ILMN_2831908	Mamdc4
ILMN_2896492	Jmjd8
ILMN_3093150	Npm3
ILMN_3020829	Npm3
ILMN_1215688	Olfr1355
ILMN_2499862	Mlxip
ILMN_1240216	Akr1cl
ILMN_2632083	Canx
ILMN_2588254	Eif4a3
ILMN_1245717	Dmtn
ILMN_2615749	Dmtn
ILMN_1256774	Usp47
ILMN_1249419	Usp47
ILMN_2952841	Usp47
ILMN_3162252	Olfr1318
ILMN_2714274	Odc1
ILMN_1256258	4930544L04Rik
ILMN_1231568	Kcnq1ot1
ILMN_1242132	Trmt11
ILMN_2602139	Ccl21c
ILMN_1249602	Sprr2e
ILMN_2449157	Tnfsf9
ILMN_2619762	Mc5r
ILMN_3150634	P3h1
ILMN_1219189	Ptprf
ILMN_2664219	Hmbox1
ILMN_2969435	Slc4a1ap
ILMN_2910653	Bmp8a
ILMN_2888342	Thoc3
ILMN_2664726	Cenpv
ILMN_1216298	Iqch
ILMN_2789925	Espnl
ILMN_2726585	Nfib
ILMN_2695793	Fes
ILMN_2771794	Fes
ILMN_2544418	Prrc2c
ILMN_2828560	Mctp2
ILMN_2541024	Mctp2
ILMN_2769318	Olfr711
ILMN_2539866	Zscan4f
ILMN_1255611	Ppp1r3d
ILMN_3047030	Il20rb
ILMN_1237651	Ipp
ILMN_1260325	Pabpc4
ILMN_2616497	Pabpc4
ILMN_2560009	Celf4
ILMN_2599618	Morf4l2
ILMN_2754425	Cdc5l
ILMN_2799969	Cdc5l
ILMN_2672664	Cdc5l
ILMN_2703899	Cdc5l
ILMN_1253014	Erg
ILMN_1260248	Erg
ILMN_2486186	Tnfrsf1b
ILMN_2945940	Rapgef4
ILMN_2667352	Glo1
ILMN_1225857	Taf15
ILMN_2651496	Actr5
ILMN_1213287	Actr5
ILMN_2802733	Olfr609
ILMN_2710431	Olfr944
ILMN_3076439	Slc1a2
ILMN_1251492	Krt75
ILMN_2679759	Krt75
ILMN_2614970	Stat4
ILMN_1236059	Stat4
ILMN_2661422	Ramp2
ILMN_2685921	Chrnb1
ILMN_3001481	Chrnb1
ILMN_1229310	Clstn3
ILMN_2719456	Atp11c
ILMN_2681236	Cldn8
ILMN_2623145	Cldn8
ILMN_2743020	Snrnp48
ILMN_1241380	Snrnp48
ILMN_2621743	Gad1
ILMN_2611501	Bcap31
ILMN_1239180	Rprd1a
ILMN_2776876	Rprd1a
ILMN_1260493	Ift140
ILMN_3137478	Ift140
ILMN_3060168	Ift140
