width,draw,accuracy,balanced_accuracy
5,0,0.6578947368421053,0.6315789473684211
5,1,0.5526315789473685,0.5741626794258373
5,2,0.6052631578947368,0.5723684210526315
5,3,0.6578947368421053,0.6315789473684211
5,4,0.6052631578947368,0.5723684210526315
25,0,0.6578947368421053,0.6315789473684211
25,1,0.631578947368421,0.6140350877192983
25,2,0.6578947368421053,0.6584928229665071
25,3,0.6578947368421053,0.6315789473684211
25,4,0.6052631578947368,0.5723684210526315
100,0,0.5789473684210527,0.5917065390749602
100,1,0.6052631578947368,0.5964912280701754
100,2,0.631578947368421,0.6140350877192983
100,3,0.6052631578947368,0.5964912280701754
100,4,0.631578947368421,0.6140350877192983
250,0,0.631578947368421,0.6140350877192983
250,1,0.6578947368421053,0.6443381180223285
250,2,0.631578947368421,0.6395534290271132
250,3,0.6578947368421053,0.6315789473684211
250,4,0.631578947368421,0.6140350877192983
