group,n_features,obs_drop_mean,obs_drop_sd,n_shuffles
Muscle_function,47,0.0021052631578947346,0.01473684210526314,50
Bone_mineral_regional,22,0.0005263157894736837,0.008305123072662885,50
Psych_POMS_MFSI,13,0.0,0.0,50
Cognitive_NCC,17,0.0,0.0,50
MRI_ultrasound_muscle,13,0.0,0.0,50
Immunoassay_IMMULITE,12,0.0,0.0,50
Immune,35,0.0,0.0,50
Muscle_size_VSI,19,0.0,0.0,50
Screening_fitness,73,0.0,0.005263157894736836,50
Vitals_intake,37,0.0,0.0,50
Blood_volume,33,-0.004736842105263157,0.020172387259722944,50
Amino_acids,40,-0.010526315789473677,0.016643566632465148,50
Balance_mobility_FTT,59,-0.014210526315789467,0.024239113557198846,50
Echo_cardiac,54,-0.015263157894736827,0.015868224664927707,50
Cardiovascular_hemo,44,-0.024736842105263158,0.02196068004739482,50
DXA_soft_tissue,110,-0.03842105263157895,0.023660807150514784,50
