shuffle_index,permutation_seed,null_metric
0,0,0.47368421052631576
1,1,0.42105263157894735
2,2,0.47368421052631576
3,3,0.5
4,4,0.47368421052631576
5,5,0.5
6,6,0.47368421052631576
7,7,0.5
8,8,0.5
9,9,0.47368421052631576
10,10,0.47368421052631576
11,11,0.47368421052631576
12,12,0.5
13,13,0.47368421052631576
14,14,0.4473684210526316
15,15,0.6052631578947368
16,16,0.5263157894736842
17,17,0.47368421052631576
18,18,0.47368421052631576
19,19,0.5
20,20,0.5
21,21,0.4473684210526316
22,22,0.5
23,23,0.5
24,24,0.5
25,25,0.47368421052631576
26,26,0.4473684210526316
27,27,0.5
28,28,0.5
29,29,0.39473684210526316
30,30,0.5
31,31,0.39473684210526316
32,32,0.5
33,33,0.5
34,34,0.5
35,35,0.5
36,36,0.5
37,37,0.4473684210526316
38,38,0.5
39,39,0.4473684210526316
40,40,0.47368421052631576
41,41,0.42105263157894735
42,42,0.5263157894736842
43,43,0.47368421052631576
44,44,0.4473684210526316
45,45,0.5
46,46,0.5
47,47,0.39473684210526316
48,48,0.5
49,49,0.5
50,50,0.5
51,51,0.47368421052631576
52,52,0.4473684210526316
53,53,0.5
54,54,0.47368421052631576
55,55,0.4473684210526316
56,56,0.5
57,57,0.5
58,58,0.5
59,59,0.5
60,60,0.4473684210526316
61,61,0.5
62,62,0.5
63,63,0.47368421052631576
64,64,0.47368421052631576
65,65,0.5
66,66,0.5263157894736842
67,67,0.5
68,68,0.4473684210526316
69,69,0.4473684210526316
70,70,0.5
71,71,0.4473684210526316
72,72,0.5
73,73,0.4473684210526316
74,74,0.47368421052631576
75,75,0.42105263157894735
76,76,0.5
77,77,0.5
78,78,0.47368421052631576
79,79,0.4473684210526316
80,80,0.5263157894736842
81,81,0.4473684210526316
82,82,0.47368421052631576
83,83,0.47368421052631576
84,84,0.47368421052631576
85,85,0.47368421052631576
86,86,0.5
87,87,0.5
88,88,0.5263157894736842
89,89,0.4473684210526316
90,90,0.42105263157894735
91,91,0.5
92,92,0.4473684210526316
93,93,0.47368421052631576
94,94,0.47368421052631576
95,95,0.47368421052631576
96,96,0.47368421052631576
97,97,0.47368421052631576
98,98,0.47368421052631576
99,99,0.5
100,100,0.4473684210526316
101,101,0.47368421052631576
102,102,0.5
103,103,0.5
104,104,0.47368421052631576
105,105,0.47368421052631576
106,106,0.47368421052631576
107,107,0.5
108,108,0.5
109,109,0.47368421052631576
110,110,0.5
111,111,0.5
112,112,0.47368421052631576
113,113,0.47368421052631576
114,114,0.6578947368421053
115,115,0.47368421052631576
116,116,0.5
117,117,0.4473684210526316
118,118,0.47368421052631576
119,119,0.4473684210526316
120,120,0.3684210526315789
121,121,0.47368421052631576
122,122,0.47368421052631576
123,123,0.47368421052631576
124,124,0.5
125,125,0.5
126,126,0.4473684210526316
127,127,0.5
128,128,0.5
129,129,0.47368421052631576
130,130,0.42105263157894735
131,131,0.4473684210526316
132,132,0.5
133,133,0.5
134,134,0.4473684210526316
135,135,0.5
136,136,0.5
137,137,0.5
138,138,0.5
139,139,0.47368421052631576
140,140,0.5
141,141,0.47368421052631576
142,142,0.34210526315789475
143,143,0.5
144,144,0.4473684210526316
145,145,0.4473684210526316
146,146,0.42105263157894735
147,147,0.47368421052631576
148,148,0.5
149,149,0.4473684210526316
150,150,0.47368421052631576
151,151,0.47368421052631576
152,152,0.5
153,153,0.47368421052631576
154,154,0.4473684210526316
155,155,0.5
156,156,0.5
157,157,0.47368421052631576
158,158,0.5
159,159,0.47368421052631576
160,160,0.5
161,161,0.5789473684210527
162,162,0.5
163,163,0.4473684210526316
164,164,0.5
165,165,0.47368421052631576
166,166,0.5
167,167,0.47368421052631576
168,168,0.4473684210526316
169,169,0.47368421052631576
170,170,0.5
171,171,0.4473684210526316
172,172,0.5
173,173,0.47368421052631576
174,174,0.5
175,175,0.5
176,176,0.5
177,177,0.47368421052631576
178,178,0.5
179,179,0.47368421052631576
180,180,0.5
181,181,0.47368421052631576
182,182,0.4473684210526316
183,183,0.47368421052631576
184,184,0.47368421052631576
185,185,0.47368421052631576
186,186,0.47368421052631576
187,187,0.4473684210526316
188,188,0.5
189,189,0.47368421052631576
190,190,0.6052631578947368
191,191,0.5
192,192,0.5263157894736842
193,193,0.5
194,194,0.5
195,195,0.5
196,196,0.4473684210526316
197,197,0.5
198,198,0.5
199,199,0.5
