experiment,dataset,campaign,n_files
BEDREST0543,BEDREST0543_Campaign_3,C3,15
BEDREST_FTT,BEDREST_FTT_CFT70,C11,254
BEDREST_iRATS,BEDREST_IRATS_MRI_ULTRASOUND_CFT70,C11,13
BEDREST_iRATS,BEDREST_IRATS_POWER_CYCLE_SUMMARY,?,30
BEDREST_iRATS,BEDREST_IRATS_SUPINE_CYCLE_SUMMARY,?,6
BEDREST_iRATS,BEDREST_IRATS_iDXA_CFT70,C11,21
BRSMAcet,BRSMAcet_Campaign_1_Acetaminophen,C1,1
BRSMAcet,BRSMAcet_Campaign_3_Acetaminophen,C3,2
BRSMAct,BRSMACT_Campaign_1_Actigraphy,C1,2
BRSMCF,BRSMCF_CFT70,C11,3
BRSMCF,BRSMCF_Campaign_1_Echocardiography,C1,6
BRSMCF,BRSMCF_Campaign_3_Echocardiography,C3,5
BRSMFMT,BRSMFMT_Campaign_1_Functional_Mobility_Test,C1,8
BRSMFMT,BRSMFMT_Campaign_3_Functional_Mobility_Test,C3,26
BRSMFSR,BRSMFSR_Campaign_1_Functional_Stretch_Reflex,C1,4
BRSMFSR,BRSMFSR_Campaign_3_Functional_Stretch_Reflex,C3,20
BRSMFSR,BRSMFSR_Campaign_3_Monosynaptic_Reflex,C3,19
BRSMGBT,BRSMGBT_Campaign_1_Glucose_Breath_Test,C1,5
BRSMImmune,BRSMIMMUNE_CFT70,C11,2
BRSMImmune,BRSMIMMUNE_Campaign_3_General_Immunity,C3,22
BRSMLVR,BRSMLVR_CFT70,C11,3
BRSMLVR,BRSMLVR_Campaign_3_Cytomegalovirus,C3,4
BRSMLVR,BRSMLVR_Campaign_3_Epsteinn_Barr_Virus,C3,5
BRSMLVR,BRSMLVR_Campaign_3_Latent_Virus_Reactivation,C3,1
BRSMLVR,BRSMLVR_Campaign_3_Salivary_Cortisol,C3,4
BRSMLVR,BRSMLVR_Campaign_3_Varicella_Zoster_Virus,C3,5
BRSMLac,BRSMLAC_Campaign_1_All_Saliva,C1,8
BRSMLac,BRSMLAC_Campaign_1_Lactulose_Breath_Test,C1,4
BRSMLac,BRSMLAC_Campaign_1_Urine_Saliva,C1,8
BRSMLac,BRSMLac_Campaign_3_Lactulose,C3,3
BRSMPT,BRSMPT_Campaign_1_Ares,C1,15
BRSMPV,BRSMPV_CFT70_PLASMA_VOLUME,C11,2
BRSMPV,BRSMPV_Campaign_1_Plasma_Volume,C1,1
BRSMPV,BRSMPV_Campaign_3_Plasma_Volume,C3,28
BRSMQCT,BRSMQCT_CFT70,C11,2
BRSMRF,BRSMRF_Campaign_1_Creatinine_Albumin,C1,1
BRSMRF,BRSMRF_Campaign_1_Hepatic_Renal,C1,1
BRSMTReflex,BRSMTREFLEX_Campaign_3_AVG_Subrep,C3,11
BRSMTReflex,BRSMTREFLEX_Campaign_3_Monosynaptic_Reflex,C3,8
BRSMUBT,BRSMUBT_Campaign_1_Urea_Breath,C1,1
BRSMVF,BRSMVF_Campaign_1_Vascular_Function,C1,8
BRSMVF,BRSMVF_Campaign_3_Vascular_Function_Reactive_Hyperemia,C3,14
BRSMVF,BRSMVF_Campaign_3_Vascular_Function_Sublingual_Nitroglycerin,C3,11
BRSMVJ,BRSMVJ_CFT70_Vertical_Jump,C11,10
BRSMVSI,BRSMVSI_CFT70,C11,2
BRSMVSI,BRSMVSI_Campaign_3_Viral_Specific_Immunity,C3,7
BRSMiDXA,BRSMIDXA_CFT70_iDXA,C11,25
BRSMpQCT,BRSMPQCT_Campaign_3_Peripheral_Quantitative_Computed_Tomography_Observation,C3,3
BRSMpQCT,BRSMPQCT_Campaign_3_Peripheral_Quantitative_Computed_Tomography_SSI_Analysis,C3,17
BRSMpQCT,BRSMPQCT_Campaign_3_Peripheral_Quantitative_Computed_Tomography_Std_Anaylsis,C3,17
BRSMpQCT,BRSMPQCT_Campaign_3_Peripheral_Quantitative_Computed_Tomography_Summary,C3,64
CRF,CRF_CFT70_FARUMEALS,C11,1
CRF,CRF_CFT70_FARUMEDLOGS,C11,1
CRF,CRF_CFT70_FARUWATERIO,C11,2
CRF,CRF_CFT70_ISSUES,C11,3
CRF,CRF_CFT70_MEALS,C11,3
CRF,CRF_CFT70_MEDLOG,C11,3
CRF,CRF_CFT70_SYMPTOMS,C11,3
CRF,CRF_CFT70_VITALS,C11,3
CRF,CRF_CFT70_WATERINTAKE,C11,6
CRF,CRF_Campaign_1_Case_Report_Form,C1,6
CRF,CRF_Campaign_1_Daily_Vitals,C1,4
CRF,CRF_Campaign_1_Meal_Status,C1,4
CRF,CRF_Campaign_1_Medical_Log,C1,4
CRF,CRF_Campaign_1_Protocol_Deviations,C1,4
CRF,CRF_Campaign_1_Urine_Collection,C1,8
CRF,CRF_Campaign_1_Water_Intake,C1,8
CRF,CRF_Campaign_3_Bowel_Movement,C3,14
CRF,CRF_Campaign_3_Daily_Vitals,C3,23
CRF,CRF_Campaign_3_Meal_Status,C3,23
CRF,CRF_Campaign_3_Medication_Log,C3,23
CRF,CRF_Campaign_3_Protocol_Deviations,C3,23
CRF,CRF_Campaign_3_Stretch_Log,C3,17
CRF,CRF_Campaign_3_Symptom_Complaint,C3,23
CRF,CRF_Campaign_3_Urine_Collection,C3,46
CRF,CRF_Campaign_3_Water_Intake,C3,44
MR001G,MR001G_Campaign_1_Blood_Data,C1,5
MR001G,MR001G_Campaign_1_Tilt,C1,6
MR001G,MR001G_Campaign_3_Blood_Data_Adrenocorticotropic_Hormone,C3,6
MR001G,MR001G_Campaign_3_Blood_Data_Aldosterone,C3,6
MR001G,MR001G_Campaign_3_Blood_Data_Angiotensin,C3,6
MR001G,MR001G_Campaign_3_Blood_Data_Arginine_Vasopressin,C3,6
MR001G,MR001G_Campaign_3_Blood_Data_Atrial_Natriuretic_Peptide,C3,6
MR001G,MR001G_Campaign_3_Blood_Data_Epinephrine,C3,6
MR001G,MR001G_Campaign_3_Blood_Data_Norepinephrine,C3,6
MR001G,MR001G_Campaign_3_Blood_Data_Plasma_Renin_Activity,C3,6
MR001G,MR001G_Campaign_3_Tilt,C3,80
MR010G,MR010G_Campaign_1_Clinical_Laboratory_Assessment,C1,8
MR010G,MR010G_Campaign_3_Clinical_Laboratory_Assessment,C3,31
MR016G,MR016G_CFT70_DAILY_INTAKE,C11,1
MR016G,MR016G_Campaign_1_Dietary_Intake,C1,8
MR016G,MR016G_Campaign_1_Nutritional_Status_Assessment,C1,4
MR016G,MR016G_Campaign_1_Renal_Stone,C1,2
MR016G,MR016G_Campaign_1_Total_Fluids,C1,1
MR016G,MR016G_Campaign_1_Urine_Panels,C1,1
MR016G,MR016G_Campaign_3,C3,3
MR016G,MR016G_Campaign_3_Dietary_Intake,C3,4
MR016G,MR016G__2770818510,?,0
MR035G,MR035G_AG_PILOT_DXA_ANALYZED,?,194
MR035G,MR035G_AG_PILOT_DXA_SCREEN,?,44
MR035G,MR035G_Campaign_1_DXA,C1,13
MR035G,MR035G_Campaign_3_DXA_Femur_Bone,C3,122
MR035G,MR035G_Campaign_3_DXA_Forearm,C3,61
MR035G,MR035G_Campaign_3_DXA_Heel,C3,61
MR035G,MR035G_Campaign_3_DXA_Hip,C3,244
MR035G,MR035G_Campaign_3_DXA_ReadMe,C3,0
MR035G,MR035G_Campaign_3_DXA_Spine,C3,122
MR035G,MR035G_Campaign_3_DXA_Whole_Body,C3,183
MR035G,MR035G_MEDES_DXA,?,10
MR042G,MR042G_Campaign_1_Functional_Neurological_Assessment,C1,1
MR042G,MR042G_Campaign_3_Functional_Neurological_Assessment,C3,55
MR078G,MR078G_Campaign_1_Final_Performance,C1,2
MR078G,MR078G_Campaign_3_Functional_Fitness_Assessment,C3,34
MR078G,MR078G_Campaign_3_Functional_Fitness_Assessment_Finals,C3,6
MR079G,MR079G_AG_ANKLE,?,0
MR079G,MR079G_AG_DATASUM,?,36
MR079G,MR079G_AG_KNEE,?,0
MR079G,MR079G_CFT70,C11,9
MR079G,MR079G_Campaign_11,C11?,3
MR079G,MR079G_Campaign_17_Isokinetic_DataSum,?,3
MR079G,MR079G_Campaign_1_Muscle_Strength_Endurance,C1,13
MR079G,MR079G_Campaign_3_Isokinetic_Muscle_Function,C3,98
MR079G,MR079G_HDT30_DataSum,?,47
MR079G,MR079G_MEDES_C1,?,36
MR079G,MR079G_MEDES_C2,?,36
MR080G,MR080G_CFT70,C11,5
MR080G,MR080G_Campaign_1_Physical_Fitness_Evaluation,C1,60
MR080G,MR080G_Campaign_3_Aerobic_Capacity_Calculations,C3,175
MR080G,MR080G_Campaign_3_Aerobic_Capacity_Data_Entry,C3,204
MR080G,MR080G_Campaign_3_Aerobic_Capacity_EVA,C3,109
MR080G,MR080G_Campaign_3_Aerobic_Capacity_HR_VO2,C3,0
MR080G,MR080G_Campaign_3_Aerobic_Capacity_O2,C3,0
MR080G,MR080G_Campaign_3_Aerobic_Capacity_PFE_PRESC,C3,109
MR080G,MR080G_Campaign_3_Aerobic_Capacity_ReadMe,C3,0
MR080G,MR080G_Campaign_3_Aerobic_Capacity_Summary,C3,127
MR085G,MR085G_Campaign_1_WinSCAT,C1,4
MR085G,MR085G_Campaign_3_WinSCAT,C3,26
NCC958SA02802,NCC958SA02802_CFT70,C11,23
NNX10AP86G,NNX10AP86G_CFT70,C11,19
NNX12AB40G,NNX12AB40G_CFT70,C11,1
