target_id,shape,measure,leakage_family,pre_col,post_col,n_paired,group_pct_of_means,effect_size,abs_effect_size,pct_safe,recommended_scale,family_size,notes
s1_tissue,1,Tissue,BEDREST_IRATS_iDXA_CFT70_Body_Composition_Gynoid_obsv,,Tissue::BEDREST_IRATS_iDXA_CFT70_Body_Composition_Gynoid_obsv::Test=Post,38,,,,True,absolute,5,same-timepoint; 4 co-measured in this file at Test=Post
s1_fat,1,Fat,BEDREST_IRATS_iDXA_CFT70_Body_Composition_Gynoid_obsv,,Fat::BEDREST_IRATS_iDXA_CFT70_Body_Composition_Gynoid_obsv::Test=Post,38,,,,True,absolute,5,same-timepoint; 4 co-measured in this file at Test=Post
s1_bmc,1,BMC,BEDREST_IRATS_iDXA_CFT70_Body_Composition_Gynoid_obsv,,BMC::BEDREST_IRATS_iDXA_CFT70_Body_Composition_Gynoid_obsv::Test=Pre,38,,,,True,absolute,5,same-timepoint; 4 co-measured in this file at Test=Pre
s1_tdi_tricuspid_e_wave,1,TDI Tricuspid E Wave,BRSMCF_CFT70_2D_Echo_All,,TDI Tricuspid E Wave::BRSMCF_CFT70_2D_Echo_All::Test_Phase=IN_TEST|Day=7,37,,,,True,absolute,27,same-timepoint; 26 co-measured in this file at Test_Phase=IN_TEST|Day=7
s1_mitral_a_wave_velocity,1,Mitral A Wave Velocity,BRSMCF_CFT70_2D_Echo_All,,Mitral A Wave Velocity::BRSMCF_CFT70_2D_Echo_All::Test_Phase=IN_TEST|Day=7,37,,,,True,absolute,27,same-timepoint; 26 co-measured in this file at Test_Phase=IN_TEST|Day=7
s1_tdi_mitral_annular_e,1,TDI Mitral Annular E,BRSMCF_CFT70_2D_Echo_All,,TDI Mitral Annular E::BRSMCF_CFT70_2D_Echo_All::Test_Phase=IN_TEST|Day=7,37,,,,True,absolute,27,same-timepoint; 26 co-measured in this file at Test_Phase=IN_TEST|Day=7
s1_tdi_basal_septal_systole,1,TDI Basal Septal Systole,BRSMCF_CFT70_2D_Echo_All,,TDI Basal Septal Systole::BRSMCF_CFT70_2D_Echo_All::Test_Phase=IN_TEST|Day=7,37,,,,True,absolute,27,same-timepoint; 26 co-measured in this file at Test_Phase=IN_TEST|Day=7
s1_pulmonic_valve_acceleration_time,1,Pulmonic Valve Acceleration Time,BRSMCF_CFT70_2D_Echo_All,,Pulmonic Valve Acceleration Time::BRSMCF_CFT70_2D_Echo_All::Test_Phase=IN_TEST|Day=7,37,,,,True,absolute,27,same-timepoint; 26 co-measured in this file at Test_Phase=IN_TEST|Day=7
s1_tdi_tricuspid_systole,1,TDI Tricuspid Systole,BRSMCF_CFT70_2D_Echo_All,,TDI Tricuspid Systole::BRSMCF_CFT70_2D_Echo_All::Test_Phase=IN_TEST|Day=7,37,,,,True,absolute,27,same-timepoint; 26 co-measured in this file at Test_Phase=IN_TEST|Day=7
s1_tdi_basal_septal_a,1,TDI Basal Septal A,BRSMCF_CFT70_2D_Echo_All,,TDI Basal Septal A::BRSMCF_CFT70_2D_Echo_All::Test_Phase=IN_TEST|Day=7,37,,,,True,absolute,27,same-timepoint; 26 co-measured in this file at Test_Phase=IN_TEST|Day=7
s1_isovolumic_contraction_time,1,Isovolumic Contraction Time,BRSMCF_CFT70_2D_Echo_All,,Isovolumic Contraction Time::BRSMCF_CFT70_2D_Echo_All::Test_Phase=IN_TEST|Day=7,37,,,,True,absolute,27,same-timepoint; 26 co-measured in this file at Test_Phase=IN_TEST|Day=7
s1_left_ventricular_diameter_diastole,1,Left Ventricular Diameter Diastole,BRSMCF_CFT70_2D_Echo_All,,Left Ventricular Diameter Diastole::BRSMCF_CFT70_2D_Echo_All::Test_Phase=IN_TEST|Day=7,37,,,,True,absolute,27,same-timepoint; 26 co-measured in this file at Test_Phase=IN_TEST|Day=7
s1_aortic_valve_close_open,1,Aortic Valve Close Open,BRSMCF_CFT70_2D_Echo_All,,Aortic Valve Close Open::BRSMCF_CFT70_2D_Echo_All::Test_Phase=IN_TEST|Day=7,37,,,,True,absolute,27,same-timepoint; 26 co-measured in this file at Test_Phase=IN_TEST|Day=7
s1_tdi_right_heart_rate,1,TDI Right Heart Rate,BRSMCF_CFT70_2D_Echo_All,,TDI Right Heart Rate::BRSMCF_CFT70_2D_Echo_All::Test_Phase=IN_TEST|Day=7,37,,,,True,absolute,27,same-timepoint; 26 co-measured in this file at Test_Phase=IN_TEST|Day=7
s1_pulmonic_valve_ejection_time,1,Pulmonic Valve Ejection Time,BRSMCF_CFT70_2D_Echo_All,,Pulmonic Valve Ejection Time::BRSMCF_CFT70_2D_Echo_All::Test_Phase=IN_TEST|Day=7,37,,,,True,absolute,27,same-timepoint; 26 co-measured in this file at Test_Phase=IN_TEST|Day=7
s1_tdi_left_heart_rate,1,TDI Left Heart Rate,BRSMCF_CFT70_2D_Echo_All,,TDI Left Heart Rate::BRSMCF_CFT70_2D_Echo_All::Test_Phase=IN_TEST|Day=7,37,,,,True,absolute,27,same-timepoint; 26 co-measured in this file at Test_Phase=IN_TEST|Day=7
s1_mitral_e_wave_velocity,1,Mitral E Wave Velocity,BRSMCF_CFT70_2D_Echo_All,,Mitral E Wave Velocity::BRSMCF_CFT70_2D_Echo_All::Test_Phase=IN_TEST|Day=7,37,,,,True,absolute,27,same-timepoint; 26 co-measured in this file at Test_Phase=IN_TEST|Day=7
s1_tdi_mitral_annular_a,1,TDI Mitral Annular A,BRSMCF_CFT70_2D_Echo_All,,TDI Mitral Annular A::BRSMCF_CFT70_2D_Echo_All::Test_Phase=IN_TEST|Day=7,37,,,,True,absolute,27,same-timepoint; 26 co-measured in this file at Test_Phase=IN_TEST|Day=7
s1_tdi_tricuspid_a_wave,1,TDI Tricuspid A Wave,BRSMCF_CFT70_2D_Echo_All,,TDI Tricuspid A Wave::BRSMCF_CFT70_2D_Echo_All::Test_Phase=IN_TEST|Day=7,37,,,,True,absolute,27,same-timepoint; 26 co-measured in this file at Test_Phase=IN_TEST|Day=7
s1_tdi_basal_septal_e,1,TDI Basal Septal E,BRSMCF_CFT70_2D_Echo_All,,TDI Basal Septal E::BRSMCF_CFT70_2D_Echo_All::Test_Phase=IN_TEST|Day=7,37,,,,True,absolute,27,same-timepoint; 26 co-measured in this file at Test_Phase=IN_TEST|Day=7
s1_mitral_deceleration_time,1,Mitral Deceleration Time,BRSMCF_CFT70_2D_Echo_All,,Mitral Deceleration Time::BRSMCF_CFT70_2D_Echo_All::Test_Phase=IN_TEST|Day=7,37,,,,True,absolute,27,same-timepoint; 26 co-measured in this file at Test_Phase=IN_TEST|Day=7
s1_isovolumic_relaxation_time,1,Isovolumic Relaxation Time,BRSMCF_CFT70_2D_Echo_All,,Isovolumic Relaxation Time::BRSMCF_CFT70_2D_Echo_All::Test_Phase=IN_TEST|Day=7,37,,,,True,absolute,27,same-timepoint; 26 co-measured in this file at Test_Phase=IN_TEST|Day=7
s1_tdi_mitral_annular_systole,1,TDI Mitral Annular Systole,BRSMCF_CFT70_2D_Echo_All,,TDI Mitral Annular Systole::BRSMCF_CFT70_2D_Echo_All::Test_Phase=IN_TEST|Day=7,37,,,,True,absolute,27,same-timepoint; 26 co-measured in this file at Test_Phase=IN_TEST|Day=7
s1_lvot_velocity_time_integral,1,LVOT Velocity Time Integral,BRSMCF_CFT70_2D_Echo_All,,LVOT Velocity Time Integral::BRSMCF_CFT70_2D_Echo_All::Test_Phase=IN_TEST|Day=7,37,,,,True,absolute,27,same-timepoint; 26 co-measured in this file at Test_Phase=IN_TEST|Day=7
s1_ejection_time,1,Ejection Time,BRSMCF_CFT70_2D_Echo_All,,Ejection Time::BRSMCF_CFT70_2D_Echo_All::Test_Phase=IN_TEST|Day=7,37,,,,True,absolute,27,same-timepoint; 26 co-measured in this file at Test_Phase=IN_TEST|Day=7
s1_tricuspid_a_velocity,1,Tricuspid A Velocity,BRSMCF_CFT70_2D_Echo_All,,Tricuspid A Velocity::BRSMCF_CFT70_2D_Echo_All::Test_Phase=IN_TEST|Day=70,37,,,,True,absolute,27,same-timepoint; 26 co-measured in this file at Test_Phase=IN_TEST|Day=70
s1_tricuspid_e_velocity,1,Tricuspid E Velocity,BRSMCF_CFT70_2D_Echo_All,,Tricuspid E Velocity::BRSMCF_CFT70_2D_Echo_All::Test_Phase=IN_TEST|Day=70,37,,,,True,absolute,27,same-timepoint; 26 co-measured in this file at Test_Phase=IN_TEST|Day=70
s1_left_ventricular_diameter_systole,1,Left Ventricular Diameter Systole,BRSMCF_CFT70_2D_Echo_All,,Left Ventricular Diameter Systole::BRSMCF_CFT70_2D_Echo_All::Test_Phase=POST_TEST|Day=0 +4 hr,37,,,,True,absolute,27,same-timepoint; 26 co-measured in this file at Test_Phase=POST_TEST|Day=0 +4 hr
s1_color_m_mode_velocity_propagation_,1,Color M-Mode Velocity Propagation Time,BRSMCF_CFT70_2D_Echo_All,,Color M-Mode Velocity Propagation Time::BRSMCF_CFT70_2D_Echo_All::Test_Phase=POST_TEST|Day=0 +4 hr,37,,,,True,absolute,27,same-timepoint; 26 co-measured in this file at Test_Phase=POST_TEST|Day=0 +4 hr
s1_fallrecovery_stand,1,FallRecovery_Stand,BEDREST_FTT_CFT70_HR_AcrossTests_DataTable_obsv,,FallRecovery_Stand::BEDREST_FTT_CFT70_HR_AcrossTests_DataTable_obsv::Test_Phase=POST_TEST|BR_Day=0,36,,,,True,absolute,24,same-timepoint; 23 co-measured in this file at Test_Phase=POST_TEST|BR_Day=0
s1_fallrecovery_prone,1,FallRecovery_Prone,BEDREST_FTT_CFT70_HR_AcrossTests_DataTable_obsv,,FallRecovery_Prone::BEDREST_FTT_CFT70_HR_AcrossTests_DataTable_obsv::Test_Phase=POST_TEST|BR_Day=0,36,,,,True,absolute,24,same-timepoint; 23 co-measured in this file at Test_Phase=POST_TEST|BR_Day=0
s1_linetest_2,1,LineTest_2,BEDREST_FTT_CFT70_HR_AcrossTests_DataTable_obsv,,LineTest_2::BEDREST_FTT_CFT70_HR_AcrossTests_DataTable_obsv::Test_Phase=POST_TEST|BR_Day=0,36,,,,True,absolute,24,same-timepoint; 23 co-measured in this file at Test_Phase=POST_TEST|BR_Day=0
s1_linetest_3,1,LineTest_3,BEDREST_FTT_CFT70_HR_AcrossTests_DataTable_obsv,,LineTest_3::BEDREST_FTT_CFT70_HR_AcrossTests_DataTable_obsv::Test_Phase=POST_TEST|BR_Day=0,36,,,,True,absolute,24,same-timepoint; 23 co-measured in this file at Test_Phase=POST_TEST|BR_Day=0
s1_egress_recline,1,Egress_Recline,BEDREST_FTT_CFT70_HR_AcrossTests_DataTable_obsv,,Egress_Recline::BEDREST_FTT_CFT70_HR_AcrossTests_DataTable_obsv::Test_Phase=POST_TEST|BR_Day=0,36,,,,True,absolute,24,same-timepoint; 23 co-measured in this file at Test_Phase=POST_TEST|BR_Day=0
s1_egress_seated,1,Egress_Seated,BEDREST_FTT_CFT70_HR_AcrossTests_DataTable_obsv,,Egress_Seated::BEDREST_FTT_CFT70_HR_AcrossTests_DataTable_obsv::Test_Phase=POST_TEST|BR_Day=0,36,,,,True,absolute,24,same-timepoint; 23 co-measured in this file at Test_Phase=POST_TEST|BR_Day=0
s1_linetest_1,1,LineTest_1,BEDREST_FTT_CFT70_HR_AcrossTests_DataTable_obsv,,LineTest_1::BEDREST_FTT_CFT70_HR_AcrossTests_DataTable_obsv::Test_Phase=POST_TEST|BR_Day=0,36,,,,True,absolute,24,same-timepoint; 23 co-measured in this file at Test_Phase=POST_TEST|BR_Day=0
s1_benchpress_forcecontrol,1,BenchPress_ForceControl,BEDREST_FTT_CFT70_HR_AcrossTests_DataTable_obsv,,BenchPress_ForceControl::BEDREST_FTT_CFT70_HR_AcrossTests_DataTable_obsv::Test_Phase=POST_TEST|BR_Day=1,36,,,,True,absolute,24,same-timepoint; 23 co-measured in this file at Test_Phase=POST_TEST|BR_Day=1
s1_jumptask_2,1,JumpTask_2,BEDREST_FTT_CFT70_HR_AcrossTests_DataTable_obsv,,JumpTask_2::BEDREST_FTT_CFT70_HR_AcrossTests_DataTable_obsv::Test_Phase=POST_TEST|BR_Day=1,36,,,,True,absolute,24,same-timepoint; 23 co-measured in this file at Test_Phase=POST_TEST|BR_Day=1
s1_legpress_maxisoforce,1,LegPress_MaxIsoForce,BEDREST_FTT_CFT70_HR_AcrossTests_DataTable_obsv,,LegPress_MaxIsoForce::BEDREST_FTT_CFT70_HR_AcrossTests_DataTable_obsv::Test_Phase=POST_TEST|BR_Day=1,36,,,,True,absolute,24,same-timepoint; 23 co-measured in this file at Test_Phase=POST_TEST|BR_Day=1
s1_jumptask_1,1,JumpTask_1,BEDREST_FTT_CFT70_HR_AcrossTests_DataTable_obsv,,JumpTask_1::BEDREST_FTT_CFT70_HR_AcrossTests_DataTable_obsv::Test_Phase=POST_TEST|BR_Day=1,36,,,,True,absolute,24,same-timepoint; 23 co-measured in this file at Test_Phase=POST_TEST|BR_Day=1
s1_rocktranslation,1,RockTranslation,BEDREST_FTT_CFT70_HR_AcrossTests_DataTable_obsv,,RockTranslation::BEDREST_FTT_CFT70_HR_AcrossTests_DataTable_obsv::Test_Phase=POST_TEST|BR_Day=1,36,,,,True,absolute,24,same-timepoint; 23 co-measured in this file at Test_Phase=POST_TEST|BR_Day=1
s1_torquegeneration_isometric,1,TorqueGeneration_Isometric,BEDREST_FTT_CFT70_HR_AcrossTests_DataTable_obsv,,TorqueGeneration_Isometric::BEDREST_FTT_CFT70_HR_AcrossTests_DataTable_obsv::Test_Phase=POST_TEST|BR_Day=1,36,,,,True,absolute,24,same-timepoint; 23 co-measured in this file at Test_Phase=POST_TEST|BR_Day=1
s1_jumptask_3,1,JumpTask_3,BEDREST_FTT_CFT70_HR_AcrossTests_DataTable_obsv,,JumpTask_3::BEDREST_FTT_CFT70_HR_AcrossTests_DataTable_obsv::Test_Phase=POST_TEST|BR_Day=1,36,,,,True,absolute,24,same-timepoint; 23 co-measured in this file at Test_Phase=POST_TEST|BR_Day=1
s1_ladderclimb,1,LadderClimb,BEDREST_FTT_CFT70_HR_AcrossTests_DataTable_obsv,,LadderClimb::BEDREST_FTT_CFT70_HR_AcrossTests_DataTable_obsv::Test_Phase=POST_TEST|BR_Day=1,36,,,,True,absolute,24,same-timepoint; 23 co-measured in this file at Test_Phase=POST_TEST|BR_Day=1
s1_torquegeneration_isotonic,1,TorqueGeneration_Isotonic,BEDREST_FTT_CFT70_HR_AcrossTests_DataTable_obsv,,TorqueGeneration_Isotonic::BEDREST_FTT_CFT70_HR_AcrossTests_DataTable_obsv::Test_Phase=POST_TEST|BR_Day=1,36,,,,True,absolute,24,same-timepoint; 23 co-measured in this file at Test_Phase=POST_TEST|BR_Day=1
s1_benchpress_maxisoforce,1,BenchPress_MaxIsoForce,BEDREST_FTT_CFT70_HR_AcrossTests_DataTable_obsv,,BenchPress_MaxIsoForce::BEDREST_FTT_CFT70_HR_AcrossTests_DataTable_obsv::Test_Phase=POST_TEST|BR_Day=1,36,,,,True,absolute,24,same-timepoint; 23 co-measured in this file at Test_Phase=POST_TEST|BR_Day=1
s1_activityboard,1,ActivityBoard,BEDREST_FTT_CFT70_HR_AcrossTests_DataTable_obsv,,ActivityBoard::BEDREST_FTT_CFT70_HR_AcrossTests_DataTable_obsv::Test_Phase=POST_TEST|BR_Day=1,36,,,,True,absolute,24,same-timepoint; 23 co-measured in this file at Test_Phase=POST_TEST|BR_Day=1
s1_visualacuity_static,1,VisualAcuity_Static,BEDREST_FTT_CFT70_HR_AcrossTests_DataTable_obsv,,VisualAcuity_Static::BEDREST_FTT_CFT70_HR_AcrossTests_DataTable_obsv::Test_Phase=POST_TEST|BR_Day=1,36,,,,True,absolute,24,same-timepoint; 23 co-measured in this file at Test_Phase=POST_TEST|BR_Day=1
s1_benchpress_powerendurance,1,BenchPress_PowerEndurance,BEDREST_FTT_CFT70_HR_AcrossTests_DataTable_obsv,,BenchPress_PowerEndurance::BEDREST_FTT_CFT70_HR_AcrossTests_DataTable_obsv::Test_Phase=POST_TEST|BR_Day=1,36,,,,True,absolute,24,same-timepoint; 23 co-measured in this file at Test_Phase=POST_TEST|BR_Day=1
s1_post_cohgb_analysis_1,1,Post-COHgb Analysis 1 (%),BRSMPV_CFT70_PLASMA_VOLUME_all_subjects,,Post-COHgb Analysis 1 (%)::BRSMPV_CFT70_PLASMA_VOLUME_all_subjects::Test_Phase=POST_TEST|BR_Day=0|Session=BR+0,36,,,,True,absolute,13,same-timepoint; 12 co-measured in this file at Test_Phase=POST_TEST|BR_Day=0|Session=BR+0
s1_pvtot_l,1,PVtot (L),BRSMPV_CFT70_PLASMA_VOLUME_all_subjects,,PVtot (L)::BRSMPV_CFT70_PLASMA_VOLUME_all_subjects::Test_Phase=POST_TEST|BR_Day=0|Session=BR+0,36,,,,True,absolute,13,same-timepoint; 12 co-measured in this file at Test_Phase=POST_TEST|BR_Day=0|Session=BR+0
s1_post_hct,1,Post-Hct (%),BRSMPV_CFT70_PLASMA_VOLUME_all_subjects,,Post-Hct (%)::BRSMPV_CFT70_PLASMA_VOLUME_all_subjects::Test_Phase=POST_TEST|BR_Day=0|Session=BR+0,36,,,,True,absolute,13,same-timepoint; 12 co-measured in this file at Test_Phase=POST_TEST|BR_Day=0|Session=BR+0
s1_bvtot_l,1,BVtot (L),BRSMPV_CFT70_PLASMA_VOLUME_all_subjects,,BVtot (L)::BRSMPV_CFT70_PLASMA_VOLUME_all_subjects::Test_Phase=POST_TEST|BR_Day=0|Session=BR+0,36,,,,True,absolute,13,same-timepoint; 12 co-measured in this file at Test_Phase=POST_TEST|BR_Day=0|Session=BR+0
s1_pre_hgb_g_dl,1,Pre-Hgb (g/dL),BRSMPV_CFT70_PLASMA_VOLUME_all_subjects,,Pre-Hgb (g/dL)::BRSMPV_CFT70_PLASMA_VOLUME_all_subjects::Test_Phase=POST_TEST|BR_Day=0|Session=BR+0,36,,,,True,absolute,13,same-timepoint; 12 co-measured in this file at Test_Phase=POST_TEST|BR_Day=0|Session=BR+0
s1_pre_cohgb_analysis_1,1,Pre-COHgb Analysis 1 (%),BRSMPV_CFT70_PLASMA_VOLUME_all_subjects,,Pre-COHgb Analysis 1 (%)::BRSMPV_CFT70_PLASMA_VOLUME_all_subjects::Test_Phase=POST_TEST|BR_Day=0|Session=BR+0,36,,,,True,absolute,13,same-timepoint; 12 co-measured in this file at Test_Phase=POST_TEST|BR_Day=0|Session=BR+0
s1_pre_cohgb_analysis_2,1,Pre-COHgb Analysis 2 (%),BRSMPV_CFT70_PLASMA_VOLUME_all_subjects,,Pre-COHgb Analysis 2 (%)::BRSMPV_CFT70_PLASMA_VOLUME_all_subjects::Test_Phase=POST_TEST|BR_Day=0|Session=BR+0,36,,,,True,absolute,13,same-timepoint; 12 co-measured in this file at Test_Phase=POST_TEST|BR_Day=0|Session=BR+0
s1_post_hgb_g_dl,1,Post-Hgb (g/dL),BRSMPV_CFT70_PLASMA_VOLUME_all_subjects,,Post-Hgb (g/dL)::BRSMPV_CFT70_PLASMA_VOLUME_all_subjects::Test_Phase=POST_TEST|BR_Day=0|Session=BR+0,36,,,,True,absolute,13,same-timepoint; 12 co-measured in this file at Test_Phase=POST_TEST|BR_Day=0|Session=BR+0
s1_pre_hct,1,Pre-Hct (%),BRSMPV_CFT70_PLASMA_VOLUME_all_subjects,,Pre-Hct (%)::BRSMPV_CFT70_PLASMA_VOLUME_all_subjects::Test_Phase=POST_TEST|BR_Day=0|Session=BR+0,36,,,,True,absolute,13,same-timepoint; 12 co-measured in this file at Test_Phase=POST_TEST|BR_Day=0|Session=BR+0
s1_post_cohgb_analysis_2,1,Post-COHgb Analysis 2 (%),BRSMPV_CFT70_PLASMA_VOLUME_all_subjects,,Post-COHgb Analysis 2 (%)::BRSMPV_CFT70_PLASMA_VOLUME_all_subjects::Test_Phase=POST_TEST|BR_Day=0|Session=BR+0,36,,,,True,absolute,13,same-timepoint; 12 co-measured in this file at Test_Phase=POST_TEST|BR_Day=0|Session=BR+0
s1_pre_cohgb_analysis_3,1,Pre-COHgb Analysis 3 (%),BRSMPV_CFT70_PLASMA_VOLUME_all_subjects,,Pre-COHgb Analysis 3 (%)::BRSMPV_CFT70_PLASMA_VOLUME_all_subjects::Test_Phase=POST_TEST|BR_Day=0|Session=BR+0,36,,,,True,absolute,13,same-timepoint; 12 co-measured in this file at Test_Phase=POST_TEST|BR_Day=0|Session=BR+0
s1_post_cohgb_analysis_3,1,Post-COHgb Analysis 3 (%),BRSMPV_CFT70_PLASMA_VOLUME_all_subjects,,Post-COHgb Analysis 3 (%)::BRSMPV_CFT70_PLASMA_VOLUME_all_subjects::Test_Phase=POST_TEST|BR_Day=0|Session=BR+0,36,,,,True,absolute,13,same-timepoint; 12 co-measured in this file at Test_Phase=POST_TEST|BR_Day=0|Session=BR+0
s1_rbcvol,1,RBCvol,BRSMPV_CFT70_PLASMA_VOLUME_all_subjects,,RBCvol::BRSMPV_CFT70_PLASMA_VOLUME_all_subjects::Test_Phase=POST_TEST|BR_Day=0|Session=BR+0,36,,,,True,absolute,13,same-timepoint; 12 co-measured in this file at Test_Phase=POST_TEST|BR_Day=0|Session=BR+0
s1_dbppk,1,DBPPK,MR080G_CFT70_POST1_ALL,,DBPPK::MR080G_CFT70_POST1_ALL::TEST=POST1|TEST_PHASE=POST_TEST|BR DAY=0,36,,,,True,absolute,35,same-timepoint; 34 co-measured in this file at TEST=POST1|TEST_PHASE=POST_TEST|BR DAY=0
s1_br_freqpk,1,BR FREQPK,MR080G_CFT70_POST1_ALL,,BR FREQPK::MR080G_CFT70_POST1_ALL::TEST=POST1|TEST_PHASE=POST_TEST|BR DAY=0,36,,,,True,absolute,35,same-timepoint; 34 co-measured in this file at TEST=POST1|TEST_PHASE=POST_TEST|BR DAY=0
s1_hrsupine,1,HRsupine,MR080G_CFT70_POST1_ALL,,HRsupine::MR080G_CFT70_POST1_ALL::TEST=POST1|TEST_PHASE=POST_TEST|BR DAY=0,36,,,,True,absolute,35,same-timepoint; 34 co-measured in this file at TEST=POST1|TEST_PHASE=POST_TEST|BR DAY=0
s1_wkld_vo2pk,1,WKLD @ VO2PK,MR080G_CFT70_POST1_ALL,,WKLD @ VO2PK::MR080G_CFT70_POST1_ALL::TEST=POST1|TEST_PHASE=POST_TEST|BR DAY=0,36,,,,True,absolute,35,same-timepoint; 34 co-measured in this file at TEST=POST1|TEST_PHASE=POST_TEST|BR DAY=0
s1_feco2pk,1,FECO2PK,MR080G_CFT70_POST1_ALL,,FECO2PK::MR080G_CFT70_POST1_ALL::TEST=POST1|TEST_PHASE=POST_TEST|BR DAY=0,36,,,,True,absolute,35,same-timepoint; 34 co-measured in this file at TEST=POST1|TEST_PHASE=POST_TEST|BR DAY=0
s1_vepk,1,VEPK,MR080G_CFT70_POST1_ALL,,VEPK::MR080G_CFT70_POST1_ALL::TEST=POST1|TEST_PHASE=POST_TEST|BR DAY=0,36,,,,True,absolute,35,same-timepoint; 34 co-measured in this file at TEST=POST1|TEST_PHASE=POST_TEST|BR DAY=0
s1_rel_hum,1,REL HUM (%),MR080G_CFT70_POST1_ALL,,REL HUM (%)::MR080G_CFT70_POST1_ALL::TEST=POST1|TEST_PHASE=POST_TEST|BR DAY=0,36,,,,True,absolute,35,same-timepoint; 34 co-measured in this file at TEST=POST1|TEST_PHASE=POST_TEST|BR DAY=0
s1_temp_0c,1,TEMP (0C),MR080G_CFT70_POST1_ALL,,TEMP (0C)::MR080G_CFT70_POST1_ALL::TEST=POST1|TEST_PHASE=POST_TEST|BR DAY=0,36,,,,True,absolute,35,same-timepoint; 34 co-measured in this file at TEST=POST1|TEST_PHASE=POST_TEST|BR DAY=0
s1_rerpk,1,RERPK,MR080G_CFT70_POST1_ALL,,RERPK::MR080G_CFT70_POST1_ALL::TEST=POST1|TEST_PHASE=POST_TEST|BR DAY=0,36,,,,True,absolute,35,same-timepoint; 34 co-measured in this file at TEST=POST1|TEST_PHASE=POST_TEST|BR DAY=0
