target_id,shape,measure,leakage_family,pre_col,post_col,n_paired,group_pct_of_means,effect_size,abs_effect_size,pct_safe,recommended_scale,family_size,notes
s1_maxpower_w,1,MaxPower_W,BRSMVJ_CFT70_Vertical_Jump_Summary_obsv_ALL,,MaxPower_W::BRSMVJ_CFT70_Vertical_Jump_Summary_obsv_ALL::Visit=PRE2,38,,,,True,absolute,6,same-timepoint; 5 co-measured in this file at Visit=PRE2
s1_maxvelocity_ms,1,MaxVelocity_ms,BRSMVJ_CFT70_Vertical_Jump_Summary_obsv_ALL,,MaxVelocity_ms::BRSMVJ_CFT70_Vertical_Jump_Summary_obsv_ALL::Visit=PRE2,38,,,,True,absolute,6,same-timepoint; 5 co-measured in this file at Visit=PRE2
s1_maxaccel_g,1,MaxAccel_g,BRSMVJ_CFT70_Vertical_Jump_Summary_obsv_ALL,,MaxAccel_g::BRSMVJ_CFT70_Vertical_Jump_Summary_obsv_ALL::Visit=PRE2,38,,,,True,absolute,6,same-timepoint; 5 co-measured in this file at Visit=PRE2
s1_maxht_in,1,MaxHt_in,BRSMVJ_CFT70_Vertical_Jump_Summary_obsv_ALL,,MaxHt_in::BRSMVJ_CFT70_Vertical_Jump_Summary_obsv_ALL::Visit=PRE2,38,,,,True,absolute,6,same-timepoint; 5 co-measured in this file at Visit=PRE2
s1_maxpower_wkg,1,MaxPower_Wkg,BRSMVJ_CFT70_Vertical_Jump_Summary_obsv_ALL,,MaxPower_Wkg::BRSMVJ_CFT70_Vertical_Jump_Summary_obsv_ALL::Visit=PRE2,38,,,,True,absolute,6,same-timepoint; 5 co-measured in this file at Visit=PRE2
s1_maxht_cm,1,MaxHt_cm,BRSMVJ_CFT70_Vertical_Jump_Summary_obsv_ALL,,MaxHt_cm::BRSMVJ_CFT70_Vertical_Jump_Summary_obsv_ALL::Visit=PRE2,38,,,,True,absolute,6,same-timepoint; 5 co-measured in this file at Visit=PRE2
s1_total_fat_free,1,Total Fat Free,BEDREST_IRATS_iDXA_CFT70_Body_Composition_Total_obsv,,Total Fat Free::BEDREST_IRATS_iDXA_CFT70_Body_Composition_Total_obsv::Test=Post,38,,,,True,absolute,5,same-timepoint; 4 co-measured in this file at Test=Post
s1_total_tissue,1,Total Tissue,BEDREST_IRATS_iDXA_CFT70_Body_Composition_Total_obsv,,Total Tissue::BEDREST_IRATS_iDXA_CFT70_Body_Composition_Total_obsv::Test=Post,38,,,,True,absolute,5,same-timepoint; 4 co-measured in this file at Test=Post
s1_total_fat,1,Total Fat,BEDREST_IRATS_iDXA_CFT70_Body_Composition_Total_obsv,,Total Fat::BEDREST_IRATS_iDXA_CFT70_Body_Composition_Total_obsv::Test=Post,38,,,,True,absolute,5,same-timepoint; 4 co-measured in this file at Test=Post
s1_total_lean,1,Total Lean,BEDREST_IRATS_iDXA_CFT70_Body_Composition_Total_obsv,,Total Lean::BEDREST_IRATS_iDXA_CFT70_Body_Composition_Total_obsv::Test=Post,38,,,,True,absolute,5,same-timepoint; 4 co-measured in this file at Test=Post
s1_total_bmc,1,Total BMC,BEDREST_IRATS_iDXA_CFT70_Body_Composition_Total_obsv,,Total BMC::BEDREST_IRATS_iDXA_CFT70_Body_Composition_Total_obsv::Test=Pre,38,,,,True,absolute,5,same-timepoint; 4 co-measured in this file at Test=Pre
s1_total,1,Total,BEDREST_IRATS_iDXA_CFT70_Body_Composition_Gynoid_obsv,,Total::BEDREST_IRATS_iDXA_CFT70_Body_Composition_Gynoid_obsv::Test=Post,38,,,,True,absolute,5,same-timepoint; 4 co-measured in this file at Test=Post
s1_lean,1,Lean,BEDREST_IRATS_iDXA_CFT70_Body_Composition_Gynoid_obsv,,Lean::BEDREST_IRATS_iDXA_CFT70_Body_Composition_Gynoid_obsv::Test=Post,38,,,,True,absolute,5,same-timepoint; 4 co-measured in this file at Test=Post
