slug,measure_label,unit,source_file,n_subjects_with_value,n_subjects_multitrial,max_trials_in_cell,is_dxa,dxa_zero_to_nan,n_missing,n_present
bmc_left_leg____nnx10ap86g_cft70_idxa,BMC_Left_Leg,,NNX10AP86G_CFT70_iDXA_avgs,24,0,1,True,0,14,24
bmc_left_total____nnx10ap86g_cft70_idxa,BMC_Left_Total,,NNX10AP86G_CFT70_iDXA_avgs,24,0,1,True,0,14,24
bmc_left_trunk____nnx10ap86g_cft70_idxa,BMC_Left_Trunk,,NNX10AP86G_CFT70_iDXA_avgs,24,0,1,True,0,14,24
bmc_legs____nnx10ap86g_cft70_idxa,BMC_Legs,,NNX10AP86G_CFT70_iDXA_avgs,24,0,1,True,0,14,24
bmc_right_arm____nnx10ap86g_cft70_idxa,BMC_Right_Arm,,NNX10AP86G_CFT70_iDXA_avgs,24,0,1,True,0,14,24
bmc_right_leg____nnx10ap86g_cft70_idxa,BMC_Right_Leg,,NNX10AP86G_CFT70_iDXA_avgs,24,0,1,True,0,14,24
bmc_right_total____nnx10ap86g_cft70_idxa,BMC_Right_Total,,NNX10AP86G_CFT70_iDXA_avgs,24,0,1,True,0,14,24
bmc_right_trunk____nnx10ap86g_cft70_idxa,BMC_Right_Trunk,,NNX10AP86G_CFT70_iDXA_avgs,24,0,1,True,0,14,24
bmc_total____nnx10ap86g_cft70_idxa,BMC_Total,,NNX10AP86G_CFT70_iDXA_avgs,24,0,1,True,0,14,24
bmc_trunk____nnx10ap86g_cft70_idxa,BMC_Trunk,,NNX10AP86G_CFT70_iDXA_avgs,24,0,1,True,0,14,24
bmd_arms____nnx10ap86g_cft70_idxa,BMD_Arms,,NNX10AP86G_CFT70_iDXA_avgs,24,0,1,True,0,14,24
bmd_head____nnx10ap86g_cft70_idxa,BMD_Head,,NNX10AP86G_CFT70_iDXA_avgs,24,0,1,True,0,14,24
bmd_legs____nnx10ap86g_cft70_idxa,BMD_Legs,,NNX10AP86G_CFT70_iDXA_avgs,24,0,1,True,0,14,24
bmd_pelvis____nnx10ap86g_cft70_idxa,BMD_Pelvis,,NNX10AP86G_CFT70_iDXA_avgs,24,0,1,True,0,14,24
bmd_ribs____nnx10ap86g_cft70_idxa,BMD_Ribs,,NNX10AP86G_CFT70_iDXA_avgs,24,0,1,True,0,14,24
bmd_spine____nnx10ap86g_cft70_idxa,BMD_Spine,,NNX10AP86G_CFT70_iDXA_avgs,24,0,1,True,0,14,24
bmd_total____nnx10ap86g_cft70_idxa,BMD_Total,,NNX10AP86G_CFT70_iDXA_avgs,24,0,1,True,0,14,24
bmd_trunk____nnx10ap86g_cft70_idxa,BMD_Trunk,,NNX10AP86G_CFT70_iDXA_avgs,24,0,1,True,0,14,24
body_temp__celsius__crf_cft70_vitals_5160,Body Temp,Celsius,CRF_CFT70_VITALS_5160,1,1,21,False,0,37,1
body_temp__celsius__crf_cft70_vitals_8072,Body Temp,Celsius,CRF_CFT70_VITALS_8072,1,1,21,False,0,37,1
body_temp__celsius__crf_cft70_vitals_8936,Body Temp,Celsius,CRF_CFT70_VITALS_8936,1,1,13,False,0,37,1
bp3__ug_ml__nnx10ap86g_cft70_immulite,BP3,ug/mL,NNX10AP86G_CFT70_IMMULITE,24,23,2,False,0,14,24
br_freqpk____mr080g_cft70_pre_all,BR FREQPK,,MR080G_CFT70_PRE_ALL,38,0,1,False,0,0,38
br_freqpk____mr080g_cft70_screen_all,BR FREQPK,,MR080G_CFT70_Screen_ALL,14,0,1,False,0,24,14
bvtot__l__brsmpv_cft70_plasma_volume_all_subjects,BVtot,L,BRSMPV_CFT70_PLASMA_VOLUME_all_subjects,37,35,2,False,0,1,37
bvtot__l__brsmpv_cft70_plasma_volume_results,BVtot,L,BRSMPV_CFT70_PLASMA_VOLUME_Results,6,5,2,False,0,32,6
card_rotation_completion_time__sec__ncc958sa02802_cft70_cardrotationcompleti,Card Rotation-Completion Time,sec,NCC958SA02802_CFT70_CardRotationCompletionTime,18,18,2,False,0,20,18
cd16_56____brsmimmune_cft70_obsv_all,CD16/56+,%,BRSMIMMUNE_CFT70_obsv_All,29,0,1,False,0,9,29
cd19____brsmimmune_cft70_obsv_all,CD19+,%,BRSMIMMUNE_CFT70_obsv_All,29,0,1,False,0,9,29
cd3____brsmimmune_cft70_obsv_all,CD3+,%,BRSMIMMUNE_CFT70_obsv_All,29,0,1,False,0,9,29
cd3_cd4____brsmimmune_cft70_obsv_all,CD3+/CD4+,%,BRSMIMMUNE_CFT70_obsv_All,29,0,1,False,0,9,29
cd3_cd8____brsmimmune_cft70_obsv_all,CD3+/CD8+,%,BRSMIMMUNE_CFT70_obsv_All,29,0,1,False,0,9,29
cd4_cd45ro____brsmimmune_cft70_obsv_all,CD4+/CD45RO+,%,BRSMIMMUNE_CFT70_obsv_All,29,0,1,False,0,9,29
cd4_cd69____brsmimmune_cft70_obsv_all,CD4+/CD69+,%,BRSMIMMUNE_CFT70_obsv_All,19,0,1,False,0,19,19
cd4_cd69____brsmimmune_cft70_obsv_all__2,CD4+/CD69+ %,,BRSMIMMUNE_CFT70_obsv_All,10,0,1,False,0,28,10
cd4_cd69_cd25_3_28_24hr____brsmimmune_cft70_obsv_all,CD4+/CD69+/CD25+ (%) 3/28 24hr,,BRSMIMMUNE_CFT70_obsv_All,7,0,1,False,0,31,7
cd4_cd69_cd25_3_28_24hr____brsmimmune_cft70_obsv_all__2,CD4+/CD69+/CD25+ 3/28 24hr %,,BRSMIMMUNE_CFT70_obsv_All,7,0,1,False,0,31,7
cd4_cd69_cd25_a_b_24hr____brsmimmune_cft70_obsv_all,CD4+/CD69+/CD25+ (%) A+B-24hr,,BRSMIMMUNE_CFT70_obsv_All,8,0,1,False,0,30,8
cd4_cd69_cd25_a_b_24hr____brsmimmune_cft70_obsv_all__2,CD4+/CD69+/CD25+ A+B-24hr %,,BRSMIMMUNE_CFT70_obsv_All,10,0,1,False,0,28,10
cd4_hla_dr____brsmimmune_cft70_obsv_all,CD4+/HLA-DR+,%,BRSMIMMUNE_CFT70_obsv_All,19,0,1,False,0,19,19
cd4_hla_dr____brsmimmune_cft70_obsv_all__2,CD4+/HLA-DR+ %,,BRSMIMMUNE_CFT70_obsv_All,10,0,1,False,0,28,10
cd4_ifng____brsmimmune_cft70_obsv_all,CD4+/IFNg+,%,BRSMIMMUNE_CFT70_obsv_All,19,0,1,False,0,19,19
cd4_ifng____brsmimmune_cft70_obsv_all__2,CD4+/IFNg+ %,,BRSMIMMUNE_CFT70_obsv_All,10,0,1,False,0,28,10
cd4_il_2_ifng____brsmimmune_cft70_obsv_all,CD4+/IL-2+ (IFNg-),%,BRSMIMMUNE_CFT70_obsv_All,19,0,1,False,0,19,19
cd4_il_2_ifng____brsmimmune_cft70_obsv_all__2,CD4+/IL-2+ (IFNg-) %,,BRSMIMMUNE_CFT70_obsv_All,10,0,1,False,0,28,10
cd8_cd45ro____brsmimmune_cft70_obsv_all,CD8+/CD45RO+,%,BRSMIMMUNE_CFT70_obsv_All,19,0,1,False,0,19,19
cd8_cd45ro____brsmimmune_cft70_obsv_all__2,CD8+/CD45RO+ %,,BRSMIMMUNE_CFT70_obsv_All,10,0,1,False,0,28,10
cd8_cd69____brsmimmune_cft70_obsv_all,CD8+/CD69+,%,BRSMIMMUNE_CFT70_obsv_All,19,0,1,False,0,19,19
cd8_cd69____brsmimmune_cft70_obsv_all__2,CD8+/CD69+ %,,BRSMIMMUNE_CFT70_obsv_All,10,0,1,False,0,28,10
cd8_cd69_cd25_3_28_24hr____brsmimmune_cft70_obsv_all,CD8+/CD69+/CD25+ (%) 3/28/24hr,,BRSMIMMUNE_CFT70_obsv_All,7,0,1,False,0,31,7
cd8_cd69_cd25_3_28_24hr____brsmimmune_cft70_obsv_all__2,CD8+/CD69+/CD25+ 3/28/24hr %,,BRSMIMMUNE_CFT70_obsv_All,7,0,1,False,0,31,7
cd8_cd69_cd25_a_b_24hr____brsmimmune_cft70_obsv_all,CD8+/CD69+/CD25+ (%) A+B-24hr,,BRSMIMMUNE_CFT70_obsv_All,8,0,1,False,0,30,8
cd8_cd69_cd25_a_b_24hr____brsmimmune_cft70_obsv_all__2,CD8+/CD69+/CD25+ A+B-24hr %,,BRSMIMMUNE_CFT70_obsv_All,10,0,1,False,0,28,10
cd8_hla_dr____brsmimmune_cft70_obsv_all,CD8+/HLA-DR+,%,BRSMIMMUNE_CFT70_obsv_All,19,0,1,False,0,19,19
cd8_hla_dr____brsmimmune_cft70_obsv_all__2,CD8+/HLA-DR+ %,,BRSMIMMUNE_CFT70_obsv_All,10,0,1,False,0,28,10
cd8_ifng_il_2____brsmimmune_cft70_obsv_all,CD8+/IFNg+ (IL-2-),%,BRSMIMMUNE_CFT70_obsv_All,19,0,1,False,0,19,19
cd8_ifng_il_2____brsmimmune_cft70_obsv_all__2,CD8+/IFNg+ (IL-2-) %,,BRSMIMMUNE_CFT70_obsv_All,10,0,1,False,0,28,10
cd8_il_2____brsmimmune_cft70_obsv_all,CD8+/IL-2+,%,BRSMIMMUNE_CFT70_obsv_All,19,0,1,False,0,19,19
cd8_il_2____brsmimmune_cft70_obsv_all__2,CD8+/IL-2+ %,,BRSMIMMUNE_CFT70_obsv_All,10,0,1,False,0,28,10
central_activation_capacity____bedrest_ftt_cft70_interptwitch_cntractvc,Central_Activation_Capacity,,BEDREST_FTT_CFT70_InterpTwitch_CntrActvCapacity_obsv,35,32,3,False,0,3,35
central_activation_ratio____bedrest_ftt_cft70_interptwitch_cntractvr,Central_Activation_Ratio,,BEDREST_FTT_CFT70_InterpTwitch_CntrActvRatio_obsv,35,32,3,False,0,3,35
cmv____brsmvsi_cft70_a_c_subjects,CMV,,BRSMVSI_CFT70_A_C_Subjects,6,0,1,False,0,32,6
cmv____brsmvsi_cft70_all_subjects,CMV,,BRSMVSI_CFT70_All_Subjects,23,0,1,False,0,15,23
cmv_tet____brsmvsi_cft70_a_c_subjects,%CMV Tet,,BRSMVSI_CFT70_A_C_Subjects,2,0,1,False,0,36,2
cmv_tet____brsmvsi_cft70_all_subjects,%CMV Tet,,BRSMVSI_CFT70_All_Subjects,12,0,1,False,0,26,12
color_m_mode_velocity_propagation_time____brsmcf_cft70_2d_echo_7_subjects,Color M-Mode Velocity Propagation Time,,BRSMCF_CFT70_2D_Echo_7_Subjects,7,0,1,False,0,31,7
color_m_mode_velocity_propagation_time____brsmcf_cft70_2d_echo_all,Color M-Mode Velocity Propagation Time,,BRSMCF_CFT70_2D_Echo_All,37,0,1,False,0,1,37
comments____mr080g_cft70_pre_all,COMMENTS,,MR080G_CFT70_PRE_ALL,33,0,1,False,0,5,33
comments____mr080g_cft70_screen_all,COMMENTS,,MR080G_CFT70_Screen_ALL,13,0,1,False,0,25,13
completion_time_sec____bedrest_ftt_cft70_pegboardtime,Completion_Time_sec,,BEDREST_FTT_CFT70_PegboardTime_obsv,35,35,3,False,0,3,35
conduction_velocity_m_sec____bedrest_ftt_cft70_msr_pkcondvel,Conduction_Velocity_m_sec,,BEDREST_FTT_CFT70_MSR_PkCondVel_obsv,34,34,3,False,0,4,34
conduction_velocity_m_sec____bedrest_ftt_cft70_msr_stcondvel,Conduction_Velocity_m_sec,,BEDREST_FTT_CFT70_MSR_StCondVel_obsv,34,34,3,False,0,4,34
confusion____nnx10ap86g_cft70_poms_confusion,Confusion,,NNX10AP86G_CFT70_POMS_Confusion,24,24,4,False,0,14,24
cor__ug_ml__nnx10ap86g_cft70_immulite,COR,ug/mL,NNX10AP86G_CFT70_IMMULITE,24,24,2,False,0,14,24
cortisol__ug_dl__brsmvsi_cft70_a_c_subjects,Cortisol,ug/dL,BRSMVSI_CFT70_A_C_Subjects,6,0,1,False,0,32,6
cortisol__ug_dl__brsmvsi_cft70_all_subjects,Cortisol,ug/dL,BRSMVSI_CFT70_All_Subjects,23,0,1,False,0,15,23
count_correct_counttask_4_100____ncc958sa02802_cft70_countnumbercorrect,"Count Correct (CountTask), 4 = 100%",,NCC958SA02802_CFT70_CountNumberCorrect,17,16,2,False,0,21,17
count_correct_dual_task_4_100____ncc958sa02802_cft70_countdualcorrect,"Count Correct (Dual Task), 4 = 100%",,NCC958SA02802_CFT70_CountDualCorrect,17,16,2,False,0,21,17
cross_correlation____bedrest_ftt_cft70_dva_hpitchtpitch_xcorr,Cross_correlation,,BEDREST_FTT_CFT70_DVA_HpitchTpitch_XcorrMxVal_obsv,35,35,3,False,0,3,35
cross_correlation____bedrest_ftt_cft70_dva_hpitchtz_xcorrmxva,Cross_correlation,,BEDREST_FTT_CFT70_DVA_HpitchTz_XcorrMxVal_obsv,35,35,3,False,0,3,35
cube_rotation_avg_response_time__sec__ncc958sa02802_cft70_cuberotationresponse,Cube rotation avg response time,sec,NCC958SA02802_CFT70_CubeRotationResponseTime,18,18,2,False,0,20,18
daily_energy_intake__kcal_day__mr016g_cft70_daily_intake,Daily Energy Intake,kcal/day,MR016G_CFT70_DAILY_INTAKE,14,14,22,False,0,24,14
daily_goal__g__crf_cft70_waterintake_obsv_8936,Daily Goal,g,CRF_CFT70_WATERINTAKE_obsv_8936,1,1,12,False,0,37,1
daily_goal__g__crf_cft70_waterintake_summary_5160,Daily Goal,g,CRF_CFT70_WATERINTAKE_summary_5160,1,1,20,False,0,37,1
daily_goal__g__crf_cft70_waterintake_summary_8072,Daily Goal,g,CRF_CFT70_WATERINTAKE_summary_8072,1,1,20,False,0,37,1
daily_total__g__crf_cft70_waterintake_obsv_8936,Daily Total,g,CRF_CFT70_WATERINTAKE_obsv_8936,1,1,12,False,0,37,1
daily_total__g__crf_cft70_waterintake_summary_5160,Daily Total,g,CRF_CFT70_WATERINTAKE_summary_5160,1,1,20,False,0,37,1
daily_total__g__crf_cft70_waterintake_summary_8072,Daily Total,g,CRF_CFT70_WATERINTAKE_summary_8072,1,1,20,False,0,37,1
dbppk____mr080g_cft70_pre_all,DBPPK,,MR080G_CFT70_PRE_ALL,38,0,1,False,0,0,38
dbppk____mr080g_cft70_screen_all,DBPPK,,MR080G_CFT70_Screen_ALL,14,0,1,False,0,24,14
dbpseated____mr080g_cft70_pre_all,DBPseated,,MR080G_CFT70_PRE_ALL,38,0,1,False,0,0,38
dbpseated____mr080g_cft70_screen_all,DBPseated,,MR080G_CFT70_Screen_ALL,14,0,1,False,0,24,14
dbpsupine____mr080g_cft70_pre_all,DBPsupine,,MR080G_CFT70_PRE_ALL,38,0,1,False,0,0,38
dbpsupine____mr080g_cft70_screen_all,DBPsupine,,MR080G_CFT70_Screen_ALL,14,0,1,False,0,24,14
delta_dl_hydroxylysine____nnx10ap86g_cft70_amino_acids,delta-DL-Hydroxylysine,,NNX10AP86G_CFT70_Amino_Acids,22,14,2,False,0,16,22
depression____nnx10ap86g_cft70_poms_depression,Depression,,NNX10AP86G_CFT70_POMS_Depression,24,24,4,False,0,14,24
dhs__ug_ml__nnx10ap86g_cft70_immulite,DHS,ug/mL,NNX10AP86G_CFT70_IMMULITE,24,24,2,False,0,14,24
diabp__mmhg__crf_cft70_vitals_5160,DiaBP,mmHg,CRF_CFT70_VITALS_5160,1,1,21,False,0,37,1
diabp__mmhg__crf_cft70_vitals_8072,DiaBP,mmHg,CRF_CFT70_VITALS_8072,1,1,21,False,0,37,1
diabp__mmhg__crf_cft70_vitals_8936,DiaBP,mmHg,CRF_CFT70_VITALS_8936,1,1,13,False,0,37,1
diastolic_bp__mmhg__bedrest_ftt_cft70_dbp_fallrecovery_diff,Diastolic_BP,mmHg,BEDREST_FTT_CFT70_DBP_FallRecovery_Diff_obsv,35,35,3,False,0,3,35
diastolic_bp_mm_hg____bedrest_ftt_cft70_dbp_fallrecoverypr,Diastolic_BP_mm_Hg,,BEDREST_FTT_CFT70_DBP_FallRecoveryPr_obsv,35,35,3,False,0,3,35
diastolic_bp_mm_hg____bedrest_ftt_cft70_dbp_fallrecoveryst,Diastolic_BP_mm_Hg,,BEDREST_FTT_CFT70_DBP_FallRecoverySt_obsv,35,35,3,False,0,3,35
digit_symbol_completion_time__sec__ncc958sa02802_cft70_digit_symbol_complet,Digit Symbol- Completion Time,sec,NCC958SA02802_CFT70_Digit_Symbol_Completion,18,18,2,False,0,20,18
digit_symbol_number_correct____ncc958sa02802_cft70_digit_symbol_number_,Digit Symbol Number correct,,NCC958SA02802_CFT70_Digit_Symbol_Number_Correct_obsv,18,18,2,False,0,20,18
digit_symbol_percent_correct____ncc958sa02802_cft70_digit_symbol_percent,Digit Symbol Percent Correct,,NCC958SA02802_CFT70_Digit_Symbol_Percent_Correct_obsv,18,18,2,False,0,20,18
dl_beta_aminoisobutyric_acid____nnx10ap86g_cft70_amino_acids,DL-beta-Aminoisobutyric Acid,,NNX10AP86G_CFT70_Amino_Acids,18,6,2,False,0,20,18
dual_reaction_time_avg____ncc958sa02802_cft70_dualtaskingtappingre,Dual reaction time Avg,,NCC958SA02802_CFT70_DualTaskingTappingResponseTime,18,17,2,False,0,20,18
e2__pg_ml__nnx10ap86g_cft70_immulite,E2,pg/ml,NNX10AP86G_CFT70_IMMULITE,23,22,2,False,0,15,23
ea____brsmvsi_cft70_a_c_subjects,EA,,BRSMVSI_CFT70_A_C_Subjects,6,0,1,False,0,32,6
ea____brsmvsi_cft70_all_subjects,EA,,BRSMVSI_CFT70_All_Subjects,23,0,1,False,0,15,23
ebna____brsmvsi_cft70_a_c_subjects,EBNA,,BRSMVSI_CFT70_A_C_Subjects,4,0,1,False,0,34,4
ebv_dna____brsmvsi_cft70_all_subjects,EBV DNA*,,BRSMVSI_CFT70_All_Subjects,13,0,1,False,0,25,13
ebv_dna__per_10e6_pbmcs__brsmvsi_cft70_a_c_subjects,EBV DNA,per 10e6 PBMCs,BRSMVSI_CFT70_A_C_Subjects,3,0,1,False,0,35,3
ebv_tet____brsmvsi_cft70_a_c_subjects,%EBV Tet,,BRSMVSI_CFT70_A_C_Subjects,2,0,1,False,0,36,2
ebv_tet____brsmvsi_cft70_all_subjects,%EBV Tet,,BRSMVSI_CFT70_All_Subjects,12,0,1,False,0,26,12
egress_recline____bedrest_ftt_cft70_hr_acrosstests_datatab,Egress_Recline,,BEDREST_FTT_CFT70_HR_AcrossTests_DataTable_obsv,36,36,3,False,0,2,36
egress_seated____bedrest_ftt_cft70_hr_acrosstests_datatab,Egress_Seated,,BEDREST_FTT_CFT70_HR_AcrossTests_DataTable_obsv,36,36,3,False,0,2,36
ejection_time____brsmcf_cft70_2d_echo_7_subjects,Ejection Time,,BRSMCF_CFT70_2D_Echo_7_Subjects,7,0,1,False,0,31,7
ejection_time____brsmcf_cft70_2d_echo_all,Ejection Time,,BRSMCF_CFT70_2D_Echo_All,37,0,1,False,0,1,37
emotional_scale____nnx10ap86g_cft70_mfsi_sf_emotional_scale,Emotional Scale,,NNX10AP86G_CFT70_MFSI-SF_Emotional_Scale,23,23,4,False,0,15,23
ethanolamine____nnx10ap86g_cft70_amino_acids,Ethanolamine,,NNX10AP86G_CFT70_Amino_Acids,22,4,2,False,0,16,22
fallrecovery_prone____bedrest_ftt_cft70_hr_acrosstests_datatab,FallRecovery_Prone,,BEDREST_FTT_CFT70_HR_AcrossTests_DataTable_obsv,36,36,3,False,0,2,36
fallrecovery_stand____bedrest_ftt_cft70_hr_acrosstests_datatab,FallRecovery_Stand,,BEDREST_FTT_CFT70_HR_AcrossTests_DataTable_obsv,36,36,3,False,0,2,36
fat____idxa_cft70_body_composition_android,Fat,,BEDREST_IRATS_iDXA_CFT70_Body_Composition_Android_obsv,38,0,1,True,0,0,38
fat____idxa_cft70_body_composition_arms,Fat,,BEDREST_IRATS_iDXA_CFT70_Body_Composition_Arms_obsv,38,0,1,True,0,0,38
fat____idxa_cft70_body_composition_gynoid,Fat,,BEDREST_IRATS_iDXA_CFT70_Body_Composition_Gynoid_obsv,38,0,1,True,0,0,38
fat____idxa_cft70_body_composition_legs,Fat,,BEDREST_IRATS_iDXA_CFT70_Body_Composition_Legs_obsv,38,0,1,True,0,0,38
fat____idxa_cft70_body_composition_trunk,Fat,,BEDREST_IRATS_iDXA_CFT70_Body_Composition_Trunk_obsv,38,0,1,True,0,0,38
fat_android____nnx10ap86g_cft70_idxa,Fat_Android,,NNX10AP86G_CFT70_iDXA_avgs,24,0,1,True,0,14,24
fat_arms____nnx10ap86g_cft70_idxa,Fat_Arms,,NNX10AP86G_CFT70_iDXA_avgs,24,0,1,True,0,14,24
fat_gynoid____nnx10ap86g_cft70_idxa,Fat_Gynoid,,NNX10AP86G_CFT70_iDXA_avgs,24,0,1,True,0,14,24
fat_left_arm____nnx10ap86g_cft70_idxa,Fat_Left_Arm,,NNX10AP86G_CFT70_iDXA_avgs,24,0,1,True,0,14,24
fat_left_leg____nnx10ap86g_cft70_idxa,Fat_Left_Leg,,NNX10AP86G_CFT70_iDXA_avgs,24,0,1,True,0,14,24
fat_left_total____nnx10ap86g_cft70_idxa,Fat_Left_Total,,NNX10AP86G_CFT70_iDXA_avgs,24,0,1,True,0,14,24
fat_left_trunk____nnx10ap86g_cft70_idxa,Fat_Left_Trunk,,NNX10AP86G_CFT70_iDXA_avgs,24,0,1,True,0,14,24
fat_legs____nnx10ap86g_cft70_idxa,Fat_Legs,,NNX10AP86G_CFT70_iDXA_avgs,24,0,1,True,0,14,24
fat_right_arm____nnx10ap86g_cft70_idxa,Fat_Right_Arm,,NNX10AP86G_CFT70_iDXA_avgs,24,0,1,True,0,14,24
fat_right_leg____nnx10ap86g_cft70_idxa,Fat_Right_Leg,,NNX10AP86G_CFT70_iDXA_avgs,24,0,1,True,0,14,24
fat_right_total____nnx10ap86g_cft70_idxa,Fat_Right_Total,,NNX10AP86G_CFT70_iDXA_avgs,24,0,1,True,0,14,24
fat_right_trunk____nnx10ap86g_cft70_idxa,Fat_Right_Trunk,,NNX10AP86G_CFT70_iDXA_avgs,24,0,1,True,0,14,24
fat_total____nnx10ap86g_cft70_idxa,Fat_Total,,NNX10AP86G_CFT70_iDXA_avgs,24,0,1,True,0,14,24
fat_trunk____nnx10ap86g_cft70_idxa,Fat_Trunk,,NNX10AP86G_CFT70_iDXA_avgs,24,0,1,True,0,14,24
fatigue____nnx10ap86g_cft70_poms_fatigue,Fatigue,,NNX10AP86G_CFT70_POMS_Fatigue,24,24,4,False,0,14,24
fatigue_index____bedrest_ftt_cft70_legpress_fatigueindex,Fatigue_Index,,BEDREST_FTT_CFT70_LegPress_FatigueIndex_obsv,35,35,3,False,0,3,35
fatigue_index____bedrest_ftt_cft70_upperbody_fatigueindex,Fatigue_Index,,BEDREST_FTT_CFT70_UpperBody_FatigueIndex_obsv,35,35,3,False,0,3,35
fatmass_arms_legs_trunk____nnx10ap86g_cft70_idxa,FatMass_(Arms+Legs)/Trunk,,NNX10AP86G_CFT70_iDXA_avgs,24,0,1,True,0,14,24
fatmass_legs_total____nnx10ap86g_cft70_idxa,FatMass_Legs/Total,,NNX10AP86G_CFT70_iDXA_avgs,24,0,1,True,0,14,24
fatmass_trunk_total____nnx10ap86g_cft70_idxa,FatMass_Trunk/Total,,NNX10AP86G_CFT70_iDXA_avgs,24,0,1,True,0,14,24
feco2pk____mr080g_cft70_pre_all,FECO2PK,,MR080G_CFT70_PRE_ALL,38,0,1,False,0,0,38
feco2pk____mr080g_cft70_screen_all,FECO2PK,,MR080G_CFT70_Screen_ALL,14,0,1,False,0,24,14
feo2pk____mr080g_cft70_pre_all,FEO2PK,,MR080G_CFT70_PRE_ALL,38,0,1,False,0,0,38
feo2pk____mr080g_cft70_screen_all,FEO2PK,,MR080G_CFT70_Screen_ALL,14,0,1,False,0,24,14
