slug,measure_label,unit,source_file,n_subjects_with_value,n_subjects_multitrial,max_trials_in_cell,is_dxa,dxa_zero_to_nan,n_missing,n_present
1_methyl_l_histidine____nnx10ap86g_cft70_amino_acids,1-Methyl-L-histidine,,NNX10AP86G_CFT70_Amino_Acids,24,24,2,False,0,14,24
3_methyl_l_histidine____nnx10ap86g_cft70_amino_acids,3-Methyl-L-histidine,,NNX10AP86G_CFT70_Amino_Acids,24,24,2,False,0,14,24
activityboard____bedrest_ftt_cft70_hr_acrosstests_datatab,ActivityBoard,,BEDREST_FTT_CFT70_HR_AcrossTests_DataTable_obsv,36,36,3,False,0,2,36
adductors____mri_ultrasound_cft70_mri_adductors,Adductors,,BEDREST_IRATS_MRI_ULTRASOUND_CFT70_MRI_Adductors,26,0,1,False,0,12,26
aec____nnx10ap86g_cft70_amino_acids,AEC,,NNX10AP86G_CFT70_Amino_Acids,2,0,1,False,0,36,2
air_time__msec__bedrest_ftt_cft70_data_jump_airtime,Air Time,msec,BEDREST_FTT_CFT70_Data_Jump_AirTime_obsv,35,35,9,False,0,3,35
ambient_temperature__fahrenheit__crf_cft70_vitals_5160,Ambient Temperature,Fahrenheit,CRF_CFT70_VITALS_5160,1,1,21,False,0,37,1
ambient_temperature__fahrenheit__crf_cft70_vitals_8072,Ambient Temperature,Fahrenheit,CRF_CFT70_VITALS_8072,1,1,21,False,0,37,1
ambient_temperature__fahrenheit__crf_cft70_vitals_8936,Ambient Temperature,Fahrenheit,CRF_CFT70_VITALS_8936,1,1,13,False,0,37,1
anger_hostility____nnx10ap86g_cft70_poms_anger_hostility,Anger-hostility,,NNX10AP86G_CFT70_POMS_Anger-hostility,24,24,4,False,0,14,24
aortic_valve_close_open____brsmcf_cft70_2d_echo_7_subjects,Aortic Valve Close Open,,BRSMCF_CFT70_2D_Echo_7_Subjects,7,0,1,False,0,31,7
aortic_valve_close_open____brsmcf_cft70_2d_echo_all,Aortic Valve Close Open,,BRSMCF_CFT70_2D_Echo_All,37,0,1,False,0,1,37
avg_step_time_sec____bedrest_ftt_cft70_dva_steptime_avg,Avg_Step_Time_sec,,BEDREST_FTT_CFT70_DVA_StepTime_avg_obsv,35,35,3,False,0,3,35
benchpress_forcecontrol____bedrest_ftt_cft70_hr_acrosstests_datatab,BenchPress_ForceControl,,BEDREST_FTT_CFT70_HR_AcrossTests_DataTable_obsv,36,36,3,False,0,2,36
benchpress_maxisoforce____bedrest_ftt_cft70_hr_acrosstests_datatab,BenchPress_MaxIsoForce,,BEDREST_FTT_CFT70_HR_AcrossTests_DataTable_obsv,36,36,3,False,0,2,36
benchpress_powerendurance____bedrest_ftt_cft70_hr_acrosstests_datatab,BenchPress_PowerEndurance,,BEDREST_FTT_CFT70_HR_AcrossTests_DataTable_obsv,36,36,3,False,0,2,36
beta_alanine____nnx10ap86g_cft70_amino_acids,beta-Alanine,,NNX10AP86G_CFT70_Amino_Acids,24,22,2,False,0,14,24
blood_volume__l__bedrest_ftt_cft70_bloodvolume,Blood_Volume,L,BEDREST_FTT_CFT70_BloodVolume_obsv,35,33,2,False,0,3,35
bmc____idxa_cft70_body_composition_android,BMC,,BEDREST_IRATS_iDXA_CFT70_Body_Composition_Android_obsv,38,0,1,True,0,0,38
bmc____idxa_cft70_body_composition_gynoid,BMC,,BEDREST_IRATS_iDXA_CFT70_Body_Composition_Gynoid_obsv,38,0,1,True,0,0,38
bmc____idxa_cft70_body_composition_trunk,BMC,,BEDREST_IRATS_iDXA_CFT70_Body_Composition_Trunk_obsv,38,0,1,True,0,0,38
bmc_android____nnx10ap86g_cft70_idxa,BMC_Android,,NNX10AP86G_CFT70_iDXA_avgs,24,0,1,True,0,14,24
bmc_arms____nnx10ap86g_cft70_idxa,BMC_Arms,,NNX10AP86G_CFT70_iDXA_avgs,24,0,1,True,0,14,24
bmc_gynoid____nnx10ap86g_cft70_idxa,BMC_Gynoid,,NNX10AP86G_CFT70_iDXA_avgs,24,0,1,True,0,14,24
bmc_left_arm____nnx10ap86g_cft70_idxa,BMC_Left_Arm,,NNX10AP86G_CFT70_iDXA_avgs,24,0,1,True,0,14,24
