,kept,deleted
0,Rps21,Rpl34
2,Rpl11,Rps17
3,Rps11,Rps25
4,Rps15a,Rpl34
5,Cox7b,Rps27l
6,Pfdn5,Rpl34
7,Hint1,Ndufb9
8,Rps19,Rps10
9,Hint1,Uqcrh
11,Pfdn5,Ndufa7
12,Timm8b,Cops9
13,Rps11,Rpl32
15,Rps8,Rpl32
