,corr,name
Junb,0.1598553521526368,Junb
Sirpa,0.15975654128313144,Sirpa
Bcl7c,-0.15962908428691222,Bcl7c
Mtx3,-0.15947385834115718,Mtx3
Snrnp48,-0.15941203489035644,Snrnp48
Pip4k2c,0.1593989695707041,Pip4k2c
G0s2,0.1591971022550175,G0s2
Akap8l,-0.15915117743678936,Akap8l
Klhdc7a,0.15868115986434445,Klhdc7a
Avpi1,-0.15864033373851477,Avpi1
Rnpc3,-0.15849906544262726,Rnpc3
Peli2,0.15836903226353136,Peli2
Slc5a6,0.1582306740966372,Slc5a6
Pskh1,0.158209191265302,Pskh1
Pde4c,-0.1581819792049599,Pde4c
Rab12,0.15817124492664408,Rab12
Ppil4,-0.15760455501674192,Ppil4
Sorbs1,0.15751757917245757,Sorbs1
Traf7,-0.15745570592348032,Traf7
Socs2,-0.15730791267687363,Socs2
Sqle,-0.15701432897764692,Sqle
Peg3,-0.1569815202561496,Peg3
Carnmt1,-0.15696895166158786,Carnmt1
Wdfy1,0.1566343035084116,Wdfy1
Inhbe,0.15648341067773214,Inhbe
Caml,-0.1563986801694107,Caml
Eeig1,0.15621666604721274,Eeig1
Trim39,-0.1561190639431614,Trim39
Rbis,-0.15592528724946256,Rbis
Med21,-0.15582000100778223,Med21
Apoc2l,-0.15550967422159084,Apoc2l
Krba1,-0.1554039512680432,Krba1
Edc4,-0.15536100269578282,Edc4
Sgms1,0.15534952222475226,Sgms1
Gnl1,0.15519682894361758,Gnl1
Smim15,-0.1550889802129376,Smim15
Med16,0.15502724613850796,Med16
Tia1,-0.15476192170077036,Tia1
Spred2,0.15468457288330853,Spred2
Dclk3,0.15462669480119812,Dclk3
Cdc42se1,0.1545177065151886,Cdc42se1
Mup19,-0.15451702467572448,Mup19
Eme2,-0.15412933245424687,Eme2
Cspp1,-0.15390787532514144,Cspp1
Clk3,-0.15357624325417307,Clk3
Mvd,-0.153432989886294,Mvd
Cenatac,-0.15338930508342635,Cenatac
Utp14b,-0.1533564021326867,Utp14b
Nat10,-0.15305060734883472,Nat10
Med19,-0.15293187615514617,Med19
Sh3bgrl2,0.1527307184577911,Sh3bgrl2
Mthfs,-0.15269490042900954,Mthfs
Saa2,-0.15247923833481838,Saa2
Ggps1,-0.15234700719802066,Ggps1
Ptpn1,0.1519659611004928,Ptpn1
Ube2v2,-0.15179901249724237,Ube2v2
Cgn,-0.15145302006359182,Cgn
Pcdhgc3,0.15092721823731894,Pcdhgc3
Itga5,-0.15089933632837757,Itga5
Fam193b,-0.1508201524358468,Fam193b
Arhgap31,0.15076307487536433,Arhgap31
Eif2ak3,0.1507288243450957,Eif2ak3
Paip2b,0.1506921817386574,Paip2b
Zfp942,-0.15041166849150894,Zfp942
Rbmx,-0.15038182465386127,Rbmx
Rab3ip,0.1503759414735736,Rab3ip
Pik3c3,0.15030298246353863,Pik3c3
Myh14,0.15028207399331123,Myh14
Rsbn1l,-0.15001025866266318,Rsbn1l
Josd2,-0.14989902602814195,Josd2
Rfxank,-0.14978147807086004,Rfxank
Jmjd6,-0.1496507938314617,Jmjd6
Rcan2,0.14955269622490977,Rcan2
Ddhd1,-0.14948260030921995,Ddhd1
Cyp2c39,0.1494057712460054,Cyp2c39
Cdh5,0.14936932388338794,Cdh5
C1qtnf1,0.14929932626093984,C1qtnf1
