target,rf_r2,tabpfn_r2
pre:BR DAY,-0.1284377154723304,-0.04141012263132704
pre:AGE,0.9456533631342271,0.9960588446144689
pre:HEIGHT,0.9088868341773064,0.9946442664049131
pre:WEIGHT,0.8128734622927485,0.9650884877961551
pre:pBAR (mmHG),-0.1981099078731805,0.3012818973905572
pre:TEMP (0C),0.17042131979614683,0.07339044421132712
pre:REL HUM (%),-0.2654897747872591,-0.05139552072711817
pre:HRsupine,0.18276005960467023,0.4795062404482521
pre:SBPsupine,0.38924824214683507,0.19960062195576755
pre:DBPsupine,0.32096012343433344,0.6376291673549934
pre:HRseated,0.119877808184092,0.4571934142237042
pre:SBPseated,-0.005118252361735909,0.08569541567732963
pre:DBPseated,0.440059614929323,0.6788777726413663
pre:TIMETOT,0.7348808242667713,0.989805355758399
pre:WKLD @ VO2PK,0.8362248492097765,0.9855552300843996
pre:MAX WKLD,0.8342931298394272,0.9918662145423425
pre:HRPK,-2.839549676101261,0.2617565429853319
pre:VO2PK,0.723078616395104,0.9728518314744622
pre:VCO2PK,0.7277226660918352,0.9602726093525872
pre:RERPK,0.39080987225117847,0.20861153880991135
pre:REL VO2PK,0.5358310979588453,0.9050053924485694
pre:VEPK,0.5694153215271258,0.9802274677879059
pre:VTPK,0.7079475487839365,0.7744202115782297
pre:BR FREQPK,-0.11617655485810197,0.901881447993144
pre:FEO2PK,0.5555143008833208,0.9963206589158028
pre:FECO2PK,0.6729425480811071,0.8979129548288918
pre:SBPPK,-0.33246490516829175,-0.06398518437327927
pre:DBPPK,-1.0942763215749318,-0.8727289778992902
pre:RPEPK,-0.8458838131012916,-0.025831213335956393
post1:BR DAY,0.0,0.0
post1:AGE,0.9201639757229938,0.9976404647518312
post1:HEIGHT,0.9525794862090412,0.9785105577453049
post1:WEIGHT,0.8961431117530604,0.98021699423802
post1:pBAR (mmHG),-0.5427093542672057,-0.5388091568368356
post1:TEMP (0C),-0.45997205895691917,0.06540446832271607
post1:REL HUM (%),-0.09618629963238678,0.24630443296112625
post1:HRsupine,-0.28860866174402666,-0.19383738393359273
post1:SBPsupine,0.31829599460407665,0.16655576176612086
post1:DBPsupine,0.627596740905225,0.6378460358965437
post1:HRseated,0.4710928948615051,0.40427806932923027
post1:SBPseated,-0.014779264506455947,0.1612974623585639
post1:DBPseated,-0.22538953197496792,0.330279319693793
post1:TIMETOT,0.6422335111773882,0.7864101306510495
post1:WKLD @ VO2PK,0.4261607715118795,0.5793338458039997
post1:MAX WKLD,0.3648918024424883,0.7020191839054502
post1:HRPK,-0.3015997897484122,0.5770976801452758
post1:VO2PK,0.875054636927818,0.9643736611204229
post1:VCO2PK,0.7120949748444645,0.9721258782979216
post1:RERPK,0.7296737796711833,0.6573593203952064
post1:REL VO2PK,0.6754524061912015,0.9649142854238112
post1:VEPK,0.7161095937520412,0.9490896938226154
post1:VTPK,0.8089556955403128,0.924593676120891
post1:BR FREQPK,-0.3347098040715053,0.7748444754911257
post1:FEO2PK,0.9459309921082845,0.9981653894706844
post1:FECO2PK,0.8704748646565295,0.9809603665543136
post1:SBPPK,-0.6330191427981253,-0.09255791472036767
post1:DBPPK,-0.2185131427819189,-0.37338733061825713
post2:BR DAY,-0.31269214492753616,-0.12874791075781733
post2:AGE,0.9395535101264115,0.9976094734602561
post2:HEIGHT,0.8746991776434334,0.9807355021638877
post2:WEIGHT,0.8153567052241668,0.9853652380913626
post2:pBAR (mmHG),-0.5163066088563075,-0.7986002305528213
post2:TEMP (0C),0.40774866607877924,0.169964404196556
post2:REL HUM (%),0.5586086777838501,-0.25790177665885694
post2:HRsupine,-0.014500714444177554,-0.4708213321193033
post2:SBPsupine,-0.5837609371499122,-0.8938401505119147
post2:DBPsupine,-1.811162776029902,-1.7207333937193137
post2:HRseated,-0.23833855353628142,-0.2309051697417588
post2:SBPseated,-0.07466914219638565,0.4663427045275854
post2:DBPseated,-1.2477568271200004,-1.7761029047511068
post2:TIMETOT,-0.07121539684042477,0.07646354402372202
post2:WKLD @ VO2PK,0.5750128196896103,0.9280923239975539
post2:MAX WKLD,0.5701950344544002,-0.001279136442812412
post2:HRPK,-0.2964518936140115,0.6437637127980138
post2:VO2PK,0.7569511254892546,0.9756432136527566
post2:VCO2PK,0.7171746219193502,0.9646571427010203
post2:RERPK,0.41049955113426095,0.6343316954853484
post2:REL VO2PK,0.7640083479347226,0.982061981617321
post2:VEPK,0.5563375686687408,0.9945854742006816
post2:VTPK,0.640147586076797,0.9109470677279186
post2:BR FREQPK,-0.07016383365672985,0.9539000835810858
post2:FEO2PK,0.6507075571307723,0.9942469012265843
post2:FECO2PK,0.6157581405611384,0.9111074096519488
post2:SBPPK,-0.623955203315073,-1.1001854056922156
post2:DBPPK,-0.0005986110153493041,-0.0028438172925440153
post2:RPEPK,-0.08308075118837865,0.39142632521106857
