shuffle_index,permutation_seed,null_metric
0,0,-0.5119816172447751
1,1,-0.422475106685633
2,2,-0.4658058868585184
3,3,-0.49928876244665715
4,4,0.16249042564832036
5,5,-0.6783017835649414
6,6,-0.22617354196301565
7,7,-0.8599409125724916
8,8,-0.05832147937411096
9,9,-0.14607725134040922
10,10,-0.37060947587263376
11,11,-0.1259437575227049
12,12,-0.3544151438888281
13,13,-0.23908523908523907
14,14,0.30999015209541525
15,15,-0.2754130648867491
16,16,-0.48068716489769125
17,17,-0.5246744720428931
18,18,-0.537805011489222
19,19,-0.5756647335594703
20,20,-0.4191924718240508
21,21,0.5877010613852719
22,22,-0.556844293686399
23,23,-0.8573148046832257
24,24,-0.5205164678848889
25,25,0.09289856658277709
26,26,-0.22135901083269502
27,27,-0.09333625123098807
28,28,-0.545026808184703
29,29,-0.46449283291388554
30,30,0.5559689243899769
31,31,-0.044096728307254626
32,32,-0.5793850530692637
33,33,-0.23580260422365687
34,34,-0.0031732136995294884
35,35,-0.8546886967939599
36,36,-0.31830616041142357
37,37,-0.050005471058102643
38,38,-0.3458802932487143
39,39,-0.42094321041689464
40,40,-0.5688806215122004
41,41,-0.28175949228580804
42,42,-0.4879089615931721
43,43,-0.5456833351570194
44,44,-0.06423022212495896
45,45,-0.17999781157675893
46,46,-0.2554984133931502
47,47,-0.4145967830178357
48,48,-0.5399934347302768
49,49,-0.22223438012911695
50,50,-0.720757194441405
51,51,-0.49250465039938723
52,52,0.24083597767808293
53,53,-0.40343582448845605
54,54,-0.488784330889594
55,55,-0.25484188642083383
56,56,-0.6235912025385709
57,57,-0.2622825254404202
58,58,-0.574570521938943
59,59,-0.4170040485829959
60,60,-0.37017179122442273
61,61,-0.29642192800087536
62,62,-0.18918918918918917
63,63,-0.45004923952292364
64,64,-0.42050552576868366
65,65,0.22070248386037858
66,66,-0.27847685742422584
67,67,-0.26644052959842435
68,68,-0.7629937629937631
69,69,-0.16905569537148482
70,70,-0.3395338658496553
71,71,0.1136885873727979
72,72,0.2745376955903272
73,73,-0.5115439325965642
74,74,0.1307582886530255
75,75,-0.3345004923952292
76,76,-0.21085457927563186
77,77,-0.6544479702374439
78,78,-0.6971222234380129
79,79,-0.5076047707626655
80,80,-0.28526096947149576
81,81,-0.42006784112047263
82,82,-0.40080971659919024
83,83,-0.5520297625560783
84,84,-0.30845825582667685
85,85,-0.31502352554984137
86,86,-0.7387022650180546
87,87,-0.7511762774920671
88,88,-0.6929642192800087
89,89,-0.3697341065762118
90,90,-0.38177043440201336
91,91,-0.06992012255170149
92,92,0.025495130758288652
93,93,-0.7605864974286027
94,94,-0.3717036874931612
95,95,-0.4579275631907211
96,96,-0.5968924389977022
97,97,-0.45508261297734987
98,98,-0.4962249699091804
99,99,-0.5303643724696355
100,100,0.23930408140934456
101,101,-0.7610241820768137
102,102,-0.8343363606521501
103,103,-0.24937082831819674
104,104,-0.6073968705547653
105,105,-0.06663748769011926
106,106,-0.6404420614946931
107,107,-0.6327825801510013
108,108,0.0370937739358792
109,109,-0.3581354633986213
110,110,-0.5642849327059853
111,111,-0.6688915636284057
112,112,-0.5544370281212386
113,113,-0.48331327278695696
