sample,age,animalreturn,dataset,condition,duration,gender,libPrep,mission,preservation,seqFacility,seqParameters,strain
GLDS_137_Mmus_BAL_TAL_LVR_FLT_Rep1_F1,12,ISST,GLDS_137,FLT,42,female,ribodepleted,RR3,carcass,UCDavis,PE_150bp_100Mreads,BALBcT
GLDS_137_Mmus_BAL_TAL_LVR_FLT_Rep2_F2,12,ISST,GLDS_137,FLT,42,female,ribodepleted,RR3,carcass,UCDavis,PE_150bp_100Mreads,BALBcT
GLDS_137_Mmus_BAL_TAL_LVR_FLT_Rep3_F3,12,ISST,GLDS_137,FLT,42,female,ribodepleted,RR3,carcass,UCDavis,PE_150bp_100Mreads,BALBcT
GLDS_137_Mmus_BAL_TAL_LVR_FLT_Rep4_F4,12,ISST,GLDS_137,FLT,42,female,ribodepleted,RR3,carcass,UCDavis,PE_150bp_100Mreads,BALBcT
GLDS_137_Mmus_BAL_TAL_LVR_FLT_Rep5_F5,12,ISST,GLDS_137,FLT,42,female,ribodepleted,RR3,carcass,UCDavis,PE_150bp_100Mreads,BALBcT
GLDS_137_Mmus_BAL_TAL_LVR_FLT_Rep6_F6,12,ISST,GLDS_137,FLT,42,female,ribodepleted,RR3,carcass,UCDavis,PE_150bp_100Mreads,BALBcT
GLDS_137_Mmus_BAL_TAL_LVR_GC_Rep1_G1,12,ISST,GLDS_137,GC,42,female,ribodepleted,RR3,carcass,UCDavis,PE_150bp_100Mreads,BALBcT
GLDS_137_Mmus_BAL_TAL_LVR_GC_Rep2_G2,12,ISST,GLDS_137,GC,42,female,ribodepleted,RR3,carcass,UCDavis,PE_150bp_100Mreads,BALBcT
GLDS_137_Mmus_BAL_TAL_LVR_GC_Rep3_G3,12,ISST,GLDS_137,GC,42,female,ribodepleted,RR3,carcass,UCDavis,PE_150bp_100Mreads,BALBcT
GLDS_137_Mmus_BAL_TAL_LVR_GC_Rep4_G5,12,ISST,GLDS_137,GC,42,female,ribodepleted,RR3,carcass,UCDavis,PE_150bp_100Mreads,BALBcT
GLDS_137_Mmus_BAL_TAL_LVR_GC_Rep5_G6,12,ISST,GLDS_137,GC,42,female,ribodepleted,RR3,carcass,UCDavis,PE_150bp_100Mreads,BALBcT
GLDS_137_Mmus_BAL_TAL_LVR_GC_Rep6_G7,12,ISST,GLDS_137,GC,42,female,ribodepleted,RR3,carcass,UCDavis,PE_150bp_100Mreads,BALBcT
GLDS_168_Mmus_BAL_TAL_LVR_RR3_FLT_ERCC_Rep1_F1,12,ISST,GLDS_168,FLT,42,female,ribodepleted,RR3,carcass,UCDavis,PE_150bp_100Mreads,BALBcT
GLDS_168_Mmus_BAL_TAL_LVR_RR3_FLT_ERCC_Rep2_F2,12,ISST,GLDS_168,FLT,42,female,ribodepleted,RR3,carcass,UCDavis,PE_150bp_100Mreads,BALBcT
GLDS_168_Mmus_BAL_TAL_LVR_RR3_FLT_ERCC_Rep3_F3,12,ISST,GLDS_168,FLT,42,female,ribodepleted,RR3,carcass,UCDavis,PE_150bp_100Mreads,BALBcT
GLDS_168_Mmus_BAL_TAL_LVR_RR3_FLT_ERCC_Rep4_F4,12,ISST,GLDS_168,FLT,42,female,ribodepleted,RR3,carcass,UCDavis,PE_150bp_100Mreads,BALBcT
GLDS_168_Mmus_BAL_TAL_LVR_RR3_GC_ERCC_Rep1_G1,12,ISST,GLDS_168,GC,42,female,ribodepleted,RR3,carcass,UCDavis,PE_150bp_100Mreads,BALBcT
GLDS_168_Mmus_BAL_TAL_LVR_RR3_GC_ERCC_Rep2_G2,12,ISST,GLDS_168,GC,42,female,ribodepleted,RR3,carcass,UCDavis,PE_150bp_100Mreads,BALBcT
GLDS_168_Mmus_BAL_TAL_LVR_RR3_GC_ERCC_Rep3_G3,12,ISST,GLDS_168,GC,42,female,ribodepleted,RR3,carcass,UCDavis,PE_150bp_100Mreads,BALBcT
GLDS_168_Mmus_BAL_TAL_LVR_RR3_GC_ERCC_Rep4_G5,12,ISST,GLDS_168,GC,42,female,ribodepleted,RR3,carcass,UCDavis,PE_150bp_100Mreads,BALBcT
GLDS_168_Mmus_C57_6J_LVR_RR1_FLT_noERCC_Rep1_M25,16,ISST,GLDS_168,FLT,37,female,ribodepleted,RR1_NASA,carcass,UCDavis,PE_150bp_100Mreads,C57BL6J
GLDS_168_Mmus_C57_6J_LVR_RR1_FLT_noERCC_Rep2_M26,16,ISST,GLDS_168,FLT,37,female,ribodepleted,RR1_NASA,carcass,UCDavis,PE_150bp_100Mreads,C57BL6J
GLDS_168_Mmus_C57_6J_LVR_RR1_FLT_noERCC_Rep3_M28,16,ISST,GLDS_168,FLT,37,female,ribodepleted,RR1_NASA,carcass,UCDavis,PE_150bp_100Mreads,C57BL6J
GLDS_168_Mmus_C57_6J_LVR_RR1_FLT_noERCC_Rep4_M29,16,ISST,GLDS_168,FLT,37,female,ribodepleted,RR1_NASA,carcass,UCDavis,PE_150bp_100Mreads,C57BL6J
GLDS_168_Mmus_C57_6J_LVR_RR1_FLT_noERCC_Rep5_M30,16,ISST,GLDS_168,FLT,37,female,ribodepleted,RR1_NASA,carcass,UCDavis,PE_150bp_100Mreads,C57BL6J
