sample,age,animalreturn,dataset,condition,duration,gender,libPrep,mission,preservation,seqFacility,seqParameters,strain
GLDS_168_Mmus_C57_6J_LVR_RR1_FLT_ERCC_Rep1_M25,16,ISST,GLDS_168,FLT,37,female,ribodepleted,RR1_NASA,carcass,UCDavis,PE_150bp_100Mreads,C57BL6J
GLDS_168_Mmus_C57_6J_LVR_RR1_FLT_ERCC_Rep2_M26,16,ISST,GLDS_168,FLT,37,female,ribodepleted,RR1_NASA,carcass,UCDavis,PE_150bp_100Mreads,C57BL6J
GLDS_168_Mmus_C57_6J_LVR_RR1_FLT_ERCC_Rep3_M28,16,ISST,GLDS_168,FLT,37,female,ribodepleted,RR1_NASA,carcass,UCDavis,PE_150bp_100Mreads,C57BL6J
GLDS_168_Mmus_C57_6J_LVR_RR1_FLT_ERCC_Rep4_M29,16,ISST,GLDS_168,FLT,37,female,ribodepleted,RR1_NASA,carcass,UCDavis,PE_150bp_100Mreads,C57BL6J
GLDS_168_Mmus_C57_6J_LVR_RR1_FLT_ERCC_Rep5_M30,16,ISST,GLDS_168,FLT,37,female,ribodepleted,RR1_NASA,carcass,UCDavis,PE_150bp_100Mreads,C57BL6J
GLDS_168_Mmus_C57_6J_LVR_RR1_GC_noERCC_Rep1_M36,16,ISST,GLDS_168,GC,37,female,ribodepleted,RR1_NASA,carcass,UCDavis,PE_150bp_100Mreads,C57BL6J
GLDS_168_Mmus_C57_6J_LVR_RR1_GC_noERCC_Rep2_M37,16,ISST,GLDS_168,GC,37,female,ribodepleted,RR1_NASA,carcass,UCDavis,PE_150bp_100Mreads,C57BL6J
GLDS_168_Mmus_C57_6J_LVR_RR1_GC_noERCC_Rep3_M38,16,ISST,GLDS_168,GC,37,female,ribodepleted,RR1_NASA,carcass,UCDavis,PE_150bp_100Mreads,C57BL6J
GLDS_168_Mmus_C57_6J_LVR_RR1_GC_noERCC_Rep4_M39,16,ISST,GLDS_168,GC,37,female,ribodepleted,RR1_NASA,carcass,UCDavis,PE_150bp_100Mreads,C57BL6J
GLDS_168_Mmus_C57_6J_LVR_RR1_GC_noERCC_Rep5_M40,16,ISST,GLDS_168,GC,37,female,ribodepleted,RR1_NASA,carcass,UCDavis,PE_150bp_100Mreads,C57BL6J
GLDS_168_Mmus_C57_6J_LVR_RR1_GC_ERCC_Rep1_M36,16,ISST,GLDS_168,GC,37,female,ribodepleted,RR1_NASA,carcass,UCDavis,PE_150bp_100Mreads,C57BL6J
GLDS_168_Mmus_C57_6J_LVR_RR1_GC_ERCC_Rep2_M37,16,ISST,GLDS_168,GC,37,female,ribodepleted,RR1_NASA,carcass,UCDavis,PE_150bp_100Mreads,C57BL6J
GLDS_168_Mmus_C57_6J_LVR_RR1_GC_ERCC_Rep3_M38,16,ISST,GLDS_168,GC,37,female,ribodepleted,RR1_NASA,carcass,UCDavis,PE_150bp_100Mreads,C57BL6J
GLDS_168_Mmus_C57_6J_LVR_RR1_GC_ERCC_Rep4_M39,16,ISST,GLDS_168,GC,37,female,ribodepleted,RR1_NASA,carcass,UCDavis,PE_150bp_100Mreads,C57BL6J
GLDS_168_Mmus_C57_6J_LVR_RR1_GC_ERCC_Rep5_M40,16,ISST,GLDS_168,GC,37,female,ribodepleted,RR1_NASA,carcass,UCDavis,PE_150bp_100Mreads,C57BL6J
GLDS_173_Mmus_C57_6CR_LVR_FLT_Rep1_F58,9,LAR,GLDS_173,FLT,13,female,ribodepleted,STS_135,immediate,UCDavis,PE_150bp_100Mreads,C57BL6J
GLDS_173_Mmus_C57_6CR_LVR_FLT_Rep2_F64,9,LAR,GLDS_173,FLT,13,female,ribodepleted,STS_135,immediate,UCDavis,PE_150bp_100Mreads,C57BL6J
GLDS_173_Mmus_C57_6CR_LVR_GC_Rep1_G40,9,LAR,GLDS_173,GC,13,female,ribodepleted,STS_135,immediate,UCDavis,PE_150bp_100Mreads,C57BL6J
GLDS_173_Mmus_C57_6CR_LVR_GC_Rep2_G44,9,LAR,GLDS_173,GC,13,female,ribodepleted,STS_135,immediate,UCDavis,PE_150bp_100Mreads,C57BL6J
GLDS_242_Mmus_C57_6J_LVR_FLT_C1_Rep1_F1,10,LAR,GLDS_242,FLT,33,male,ribodepleted,RR9,immediate,GeneLabSPL,PE_149bp_60Mreads,C57BL6J
GLDS_242_Mmus_C57_6J_LVR_FLT_C1_Rep2_F2,10,LAR,GLDS_242,FLT,33,male,ribodepleted,RR9,immediate,GeneLabSPL,PE_149bp_60Mreads,C57BL6J
GLDS_242_Mmus_C57_6J_LVR_FLT_C1_Rep3_F3,10,LAR,GLDS_242,FLT,33,male,ribodepleted,RR9,immediate,GeneLabSPL,PE_149bp_60Mreads,C57BL6J
GLDS_242_Mmus_C57_6J_LVR_FLT_C1_Rep4_F4,10,LAR,GLDS_242,FLT,33,male,ribodepleted,RR9,immediate,GeneLabSPL,PE_149bp_60Mreads,C57BL6J
GLDS_242_Mmus_C57_6J_LVR_FLT_C1_Rep5_F5,10,LAR,GLDS_242,FLT,33,male,ribodepleted,RR9,immediate,GeneLabSPL,PE_149bp_60Mreads,C57BL6J
GLDS_242_Mmus_C57_6J_LVR_GC_C2_Rep1_G1,10,LAR,GLDS_242,GC,33,male,ribodepleted,RR9,immediate,GeneLabSPL,PE_149bp_60Mreads,C57BL6J
GLDS_242_Mmus_C57_6J_LVR_GC_C2_Rep2_G3,10,LAR,GLDS_242,GC,33,male,ribodepleted,RR9,immediate,GeneLabSPL,PE_149bp_60Mreads,C57BL6J
GLDS_242_Mmus_C57_6J_LVR_GC_C2_Rep3_G4,10,LAR,GLDS_242,GC,33,male,ribodepleted,RR9,immediate,GeneLabSPL,PE_149bp_60Mreads,C57BL6J
GLDS_242_Mmus_C57_6J_LVR_GC_C2_Rep4_G5,10,LAR,GLDS_242,GC,33,male,ribodepleted,RR9,immediate,GeneLabSPL,PE_149bp_60Mreads,C57BL6J
GLDS_245_Mmus_C57_6T_LVR_FLT_ISS_T_Rep1_F5,32,ISST,GLDS_245,FLT,54,female,ribodepleted,RR6,carcass,GeneLabSPL,PE_149bp_60Mreads,C57BL6T
GLDS_245_Mmus_C57_6T_LVR_FLT_ISS_T_Rep10_F6,32,ISST,GLDS_245,FLT,54,female,ribodepleted,RR6,carcass,GeneLabSPL,PE_149bp_60Mreads,C57BL6T
GLDS_245_Mmus_C57_6T_LVR_FLT_ISS_T_Rep2_F8,32,ISST,GLDS_245,FLT,54,female,ribodepleted,RR6,carcass,GeneLabSPL,PE_149bp_60Mreads,C57BL6T
GLDS_245_Mmus_C57_6T_LVR_FLT_ISS_T_Rep3_F9,32,ISST,GLDS_245,FLT,54,female,ribodepleted,RR6,carcass,GeneLabSPL,PE_149bp_60Mreads,C57BL6T
GLDS_245_Mmus_C57_6T_LVR_FLT_ISS_T_Rep4_F10,32,ISST,GLDS_245,FLT,54,female,ribodepleted,RR6,carcass,GeneLabSPL,PE_149bp_60Mreads,C57BL6T
GLDS_245_Mmus_C57_6T_LVR_FLT_ISS_T_Rep5_F7,32,ISST,GLDS_245,FLT,54,female,ribodepleted,RR6,carcass,GeneLabSPL,PE_149bp_60Mreads,C57BL6T
GLDS_245_Mmus_C57_6T_LVR_FLT_ISS_T_Rep6_F1,32,ISST,GLDS_245,FLT,54,female,ribodepleted,RR6,carcass,GeneLabSPL,PE_149bp_60Mreads,C57BL6T
GLDS_245_Mmus_C57_6T_LVR_FLT_ISS_T_Rep7_F2,32,ISST,GLDS_245,FLT,54,female,ribodepleted,RR6,carcass,GeneLabSPL,PE_149bp_60Mreads,C57BL6T
GLDS_245_Mmus_C57_6T_LVR_FLT_ISS_T_Rep8_F3,32,ISST,GLDS_245,FLT,54,female,ribodepleted,RR6,carcass,GeneLabSPL,PE_149bp_60Mreads,C57BL6T
GLDS_245_Mmus_C57_6T_LVR_FLT_ISS_T_Rep9_F4,32,ISST,GLDS_245,FLT,54,female,ribodepleted,RR6,carcass,GeneLabSPL,PE_149bp_60Mreads,C57BL6T
GLDS_245_Mmus_C57_6T_LVR_FLT_LAR_Rep1_F1,32,LAR,GLDS_245,FLT,29,female,ribodepleted,RR6,immediate,GeneLabSPL,PE_149bp_60Mreads,C57BL6T
GLDS_245_Mmus_C57_6T_LVR_FLT_LAR_Rep10_F5,32,LAR,GLDS_245,FLT,29,female,ribodepleted,RR6,immediate,GeneLabSPL,PE_149bp_60Mreads,C57BL6T
GLDS_245_Mmus_C57_6T_LVR_FLT_LAR_Rep2_F2,32,LAR,GLDS_245,FLT,29,female,ribodepleted,RR6,immediate,GeneLabSPL,PE_149bp_60Mreads,C57BL6T
GLDS_245_Mmus_C57_6T_LVR_FLT_LAR_Rep3_F3,32,LAR,GLDS_245,FLT,29,female,ribodepleted,RR6,immediate,GeneLabSPL,PE_149bp_60Mreads,C57BL6T
GLDS_245_Mmus_C57_6T_LVR_FLT_LAR_Rep4_F6,32,LAR,GLDS_245,FLT,29,female,ribodepleted,RR6,immediate,GeneLabSPL,PE_149bp_60Mreads,C57BL6T
GLDS_245_Mmus_C57_6T_LVR_FLT_LAR_Rep5_F7,32,LAR,GLDS_245,FLT,29,female,ribodepleted,RR6,immediate,GeneLabSPL,PE_149bp_60Mreads,C57BL6T
GLDS_245_Mmus_C57_6T_LVR_FLT_LAR_Rep6_F10,32,LAR,GLDS_245,FLT,29,female,ribodepleted,RR6,immediate,GeneLabSPL,PE_149bp_60Mreads,C57BL6T
GLDS_245_Mmus_C57_6T_LVR_FLT_LAR_Rep7_F8,32,LAR,GLDS_245,FLT,29,female,ribodepleted,RR6,immediate,GeneLabSPL,PE_149bp_60Mreads,C57BL6T
GLDS_245_Mmus_C57_6T_LVR_FLT_LAR_Rep8_F9,32,LAR,GLDS_245,FLT,29,female,ribodepleted,RR6,immediate,GeneLabSPL,PE_149bp_60Mreads,C57BL6T
GLDS_245_Mmus_C57_6T_LVR_FLT_LAR_Rep9_F4,32,LAR,GLDS_245,FLT,29,female,ribodepleted,RR6,immediate,GeneLabSPL,PE_149bp_60Mreads,C57BL6T
GLDS_245_Mmus_C57_6T_LVR_GC_ISS_T_Rep1_G4,32,ISST,GLDS_245,GC,54,female,ribodepleted,RR6,carcass,GeneLabSPL,PE_149bp_60Mreads,C57BL6T
GLDS_245_Mmus_C57_6T_LVR_GC_ISS_T_Rep10_G6,32,ISST,GLDS_245,GC,54,female,ribodepleted,RR6,carcass,GeneLabSPL,PE_149bp_60Mreads,C57BL6T
GLDS_245_Mmus_C57_6T_LVR_GC_ISS_T_Rep2_G9,32,ISST,GLDS_245,GC,54,female,ribodepleted,RR6,carcass,GeneLabSPL,PE_149bp_60Mreads,C57BL6T
GLDS_245_Mmus_C57_6T_LVR_GC_ISS_T_Rep3_G10,32,ISST,GLDS_245,GC,54,female,ribodepleted,RR6,carcass,GeneLabSPL,PE_149bp_60Mreads,C57BL6T
GLDS_245_Mmus_C57_6T_LVR_GC_ISS_T_Rep4_G7,32,ISST,GLDS_245,GC,54,female,ribodepleted,RR6,carcass,GeneLabSPL,PE_149bp_60Mreads,C57BL6T
GLDS_245_Mmus_C57_6T_LVR_GC_ISS_T_Rep5_G8,32,ISST,GLDS_245,GC,54,female,ribodepleted,RR6,carcass,GeneLabSPL,PE_149bp_60Mreads,C57BL6T
GLDS_245_Mmus_C57_6T_LVR_GC_ISS_T_Rep6_G1,32,ISST,GLDS_245,GC,54,female,ribodepleted,RR6,carcass,GeneLabSPL,PE_149bp_60Mreads,C57BL6T
GLDS_245_Mmus_C57_6T_LVR_GC_ISS_T_Rep7_G2,32,ISST,GLDS_245,GC,54,female,ribodepleted,RR6,carcass,GeneLabSPL,PE_149bp_60Mreads,C57BL6T
GLDS_245_Mmus_C57_6T_LVR_GC_ISS_T_Rep8_G3,32,ISST,GLDS_245,GC,54,female,ribodepleted,RR6,carcass,GeneLabSPL,PE_149bp_60Mreads,C57BL6T
GLDS_245_Mmus_C57_6T_LVR_GC_ISS_T_Rep9_G5,32,ISST,GLDS_245,GC,54,female,ribodepleted,RR6,carcass,GeneLabSPL,PE_149bp_60Mreads,C57BL6T
GLDS_245_Mmus_C57_6T_LVR_GC_LAR_Rep1_G6,32,LAR,GLDS_245,GC,29,female,ribodepleted,RR6,immediate,GeneLabSPL,PE_149bp_60Mreads,C57BL6T
GLDS_245_Mmus_C57_6T_LVR_GC_LAR_Rep2_G4,32,LAR,GLDS_245,GC,29,female,ribodepleted,RR6,immediate,GeneLabSPL,PE_149bp_60Mreads,C57BL6T
GLDS_245_Mmus_C57_6T_LVR_GC_LAR_Rep3_G10,32,LAR,GLDS_245,GC,29,female,ribodepleted,RR6,immediate,GeneLabSPL,PE_149bp_60Mreads,C57BL6T
GLDS_245_Mmus_C57_6T_LVR_GC_LAR_Rep4_G5,32,LAR,GLDS_245,GC,29,female,ribodepleted,RR6,immediate,GeneLabSPL,PE_149bp_60Mreads,C57BL6T
GLDS_245_Mmus_C57_6T_LVR_GC_LAR_Rep5_G7,32,LAR,GLDS_245,GC,29,female,ribodepleted,RR6,immediate,GeneLabSPL,PE_149bp_60Mreads,C57BL6T
GLDS_245_Mmus_C57_6T_LVR_GC_LAR_Rep6_G8,32,LAR,GLDS_245,GC,29,female,ribodepleted,RR6,immediate,GeneLabSPL,PE_149bp_60Mreads,C57BL6T
GLDS_245_Mmus_C57_6T_LVR_GC_LAR_Rep7_G9,32,LAR,GLDS_245,GC,29,female,ribodepleted,RR6,immediate,GeneLabSPL,PE_149bp_60Mreads,C57BL6T
GLDS_245_Mmus_C57_6T_LVR_GC_LAR_Rep8_G2,32,LAR,GLDS_245,GC,29,female,ribodepleted,RR6,immediate,GeneLabSPL,PE_149bp_60Mreads,C57BL6T
GLDS_245_Mmus_C57_6T_LVR_GC_LAR_Rep9_G3,32,LAR,GLDS_245,GC,29,female,ribodepleted,RR6,immediate,GeneLabSPL,PE_149bp_60Mreads,C57BL6T
GLDS_47_Mmus_C57_6T_LVR_FLT_Rep1_F1,32,ISST,GLDS_47,FLT,21,female,polyA,RR1_CASIS,immediate,UCDavis,SE_50bp_30Mreads,C57BL6T
GLDS_47_Mmus_C57_6T_LVR_FLT_Rep2_F2,32,ISST,GLDS_47,FLT,21,female,polyA,RR1_CASIS,immediate,UCDavis,SE_50bp_30Mreads,C57BL6T
GLDS_47_Mmus_C57_6T_LVR_FLT_Rep3_F4,32,ISST,GLDS_47,FLT,21,female,polyA,RR1_CASIS,immediate,UCDavis,SE_50bp_30Mreads,C57BL6T
GLDS_47_Mmus_C57_6T_LVR_GC_Rep1_G2,32,ISST,GLDS_47,GC,21,female,polyA,RR1_CASIS,immediate,UCDavis,SE_50bp_30Mreads,C57BL6T
GLDS_47_Mmus_C57_6T_LVR_GC_Rep2_G3,32,ISST,GLDS_47,GC,21,female,polyA,RR1_CASIS,immediate,UCDavis,SE_50bp_30Mreads,C57BL6T
GLDS_47_Mmus_C57_6T_LVR_GC_Rep3_G5,32,ISST,GLDS_47,GC,21,female,polyA,RR1_CASIS,immediate,UCDavis,SE_50bp_30Mreads,C57BL6T
GLDS_48_Mmus_C57_6J_LVR_FLT_C_Rep1_M25,16,ISST,GLDS_48,FLT,37,female,polyA,RR1_NASA,carcass,UCDavis,SE_50bp_30Mreads,C57BL6J
GLDS_48_Mmus_C57_6J_LVR_FLT_C_Rep2_M26,16,ISST,GLDS_48,FLT,37,female,polyA,RR1_NASA,carcass,UCDavis,SE_50bp_30Mreads,C57BL6J
GLDS_48_Mmus_C57_6J_LVR_FLT_C_Rep3_M27,16,ISST,GLDS_48,FLT,37,female,polyA,RR1_NASA,carcass,UCDavis,SE_50bp_30Mreads,C57BL6J
GLDS_48_Mmus_C57_6J_LVR_FLT_C_Rep4_M28,16,ISST,GLDS_48,FLT,37,female,polyA,RR1_NASA,carcass,UCDavis,SE_50bp_30Mreads,C57BL6J
GLDS_48_Mmus_C57_6J_LVR_FLT_C_Rep5_M30,16,ISST,GLDS_48,FLT,37,female,polyA,RR1_NASA,carcass,UCDavis,SE_50bp_30Mreads,C57BL6J
GLDS_48_Mmus_C57_6J_LVR_FLT_I_Rep1_M21,16,ISST,GLDS_48,FLT,37,female,polyA,RR1_NASA,immediate,UCDavis,SE_50bp_30Mreads,C57BL6J
GLDS_48_Mmus_C57_6J_LVR_FLT_I_Rep2_M22,16,ISST,GLDS_48,FLT,37,female,polyA,RR1_NASA,immediate,UCDavis,SE_50bp_30Mreads,C57BL6J
GLDS_48_Mmus_C57_6J_LVR_GC_C_Rep1_M36,16,ISST,GLDS_48,GC,37,female,polyA,RR1_NASA,carcass,UCDavis,SE_50bp_30Mreads,C57BL6J
GLDS_48_Mmus_C57_6J_LVR_GC_C_Rep2_M37,16,ISST,GLDS_48,GC,37,female,polyA,RR1_NASA,carcass,UCDavis,SE_50bp_30Mreads,C57BL6J
GLDS_48_Mmus_C57_6J_LVR_GC_C_Rep3_M38,16,ISST,GLDS_48,GC,37,female,polyA,RR1_NASA,carcass,UCDavis,SE_50bp_30Mreads,C57BL6J
GLDS_48_Mmus_C57_6J_LVR_GC_C_Rep4_M39,16,ISST,GLDS_48,GC,37,female,polyA,RR1_NASA,carcass,UCDavis,SE_50bp_30Mreads,C57BL6J
GLDS_48_Mmus_C57_6J_LVR_GC_C_Rep5_M40,16,ISST,GLDS_48,GC,37,female,polyA,RR1_NASA,carcass,UCDavis,SE_50bp_30Mreads,C57BL6J
GLDS_48_Mmus_C57_6J_LVR_GC_I_Rep1_M31,16,ISST,GLDS_48,GC,37,female,polyA,RR1_NASA,immediate,UCDavis,SE_50bp_30Mreads,C57BL6J
GLDS_48_Mmus_C57_6J_LVR_GC_I_Rep2_M32,16,ISST,GLDS_48,GC,37,female,polyA,RR1_NASA,immediate,UCDavis,SE_50bp_30Mreads,C57BL6J
